station_id,version__origin__name,version__version,StationName,StationLon,StationLat,Alive,CAL_TYPE,Calibration ID,Catchment,Country code,DrainingArea.km2.LDD,DrainingArea.km2.Provider,EC_Catchments,EC_calib,Exclude,FixedRepPoint,HasD,HasHD,HasHWL,HasRTD,HasRTWL,HasWL,Height,LSFCalib,LisfloodX,LisfloodY,MdlStep,ModelFile,Notes,ObsID,PostProcess,Provider ID,RealTime,River,KGE,correlation,bias,variability
1,EFAS,12,Schwabelweis,12.13873,49.023585,1,NRT_6h,,Danube,DE,35525.0,35399.0,Danube,1.0,0,True,1,1,1,1,1,1,324.49,False,4477500.0,2882500.0,6.0,ID_1.mod,Oscillations in lower flow  use 3,1,True,1004,True,Danube,0.861,0.874,1.056,0.979
2,EFAS,12,Hofkirchen,13.115212,48.676627,1,NRT_6h,C059,Danube,DE,47525.0,47496.0,Danube,3.0,0,True,1,1,1,1,1,1,299.6,True,4547500.0,2847500.0,6.0,ID_2.mod,,2,True,1004,True,Danube,0.844,0.878,1.098,1.001
3,EFAS,12,Pfelling,12.747379,48.879843,1,NRT_6h,C362,Danube,DE,37725.0,37687.0,Danube,2.0,0,True,1,1,1,1,1,1,310.25,False,4517500.0,2867500.0,6.0,ID_3.mod,Use 886 which has more data almost same location Same location as 886,3,True,1004,True,Danube,,,,
4,EFAS,12,Barby,11.882244,51.984836,1,NRT_6h,C348,Elbe,DE,93975.0,94060.0,Elbe,3.0,0,True,1,1,1,1,1,1,46.11,True,4452500.0,3207500.0,6.0,ID_4.mod,,4,True,1004,True,Elbe,0.613,0.653,1.162,1.054
5,EFAS,12,Wittenberg / Lutherstadt,12.646309,51.856531,1,NRT_6h,C164,Elbe,DE,61675.0,61879.0,Elbe,3.0,0,True,1,1,1,1,1,1,62.44,True,4497500.0,3197500.0,6.0,ID_5.mod,,5,True,1004,True,Elbe,0.692,0.753,1.168,0.923
6,EFAS,12,Malliss OP,11.345254,53.190627,1,NRT_6h,C558,Elbe,DE,2900.0,2879.0,Elbe,0.0,0,True,1,1,1,1,1,1,19.75,False,4407500.0,3342500.0,6.0,ID_6.mod,unrealistic low discharge same for daily data  possibly wrong location,6,True,1004,True,Muritz-Elde,0.345,0.9,1.624,1.17
7,EFAS,12,Schnackenburg,11.569159,53.038253,1,,,Elbe,DE,125175.0,125482.0,Elbe,,0,False,0,0,1,0,1,1,13.7,False,4422500.0,3327500.0,,,No discharge data available for calibration period,7,False,1004,False,Elbe,,,,
8,EFAS,12,Grosse Traenke Wehr UP,13.996386,52.369055,1,HIST_24h,,Elbe,DE,6625.0,6170.92,Elbe,0.0,0,True,0,1,1,1,1,1,34.8,False,4592500.0,3257500.0,6.0,ID_8.mod,oscillations doscharge is too low compared to size of catchment possibly wrong data,8,False,1004,False,Muggelspree,,,,
9,EFAS,12,Rathenow UP,12.321014,52.607446,1,HIST_24h,C351,Elbe,DE,18875.0,19288.46,Elbe,3.0,0,True,0,1,1,0,1,1,24.52,True,4472500.0,3287500.0,24.0,ID_9.mod,,9,False,1004,False,Lower Havel,0.692,0.741,0.89,1.125
10,EFAS,12,Plau OP,12.259913,53.456704,1,NRT_6h,,Elbe,DE,1250.0,1230.0,Elbe,0.0,0,True,1,1,1,1,1,1,60.16,False,4467500.0,3377500.0,6.0,ID_10.mod,low quality data  very small flow a   lake,10,True,1004,True,Muritz-Elde,-0.715,0.324,2.576,0.984
11,EFAS,12,Calbe Grizehne,11.812211,51.916414,1,NRT_6h,C169,Elbe,DE,23725.0,23719.0,Elbe,3.0,0,True,1,1,1,1,1,1,49.36,True,4442500.0,3202500.0,6.0,ID_11.mod,,11,True,1004,True,Saale,0.718,0.753,1.12,0.938
12,EFAS,12,Tangermuende,11.978054,52.541308,1,NRT_6h,C170,Elbe,DE,97875.0,97780.0,Elbe,3.0,0,True,1,1,1,1,1,1,27.56,True,4457500.0,3272500.0,6.0,ID_12.mod,,12,True,1004,True,Elbe,0.751,0.775,1.107,1.004
13,EFAS,12,Bernburg UP,11.73542,51.796794,1,NRT_6h,,Elbe,DE,19700.0,19660.0,Elbe,2.0,0,True,1,1,1,1,1,1,55.11,False,4442500.0,3187500.0,6.0,ID_13.mod,Few outliers removed with qc close to 11,13,True,1004,True,Saale,,,,
14,EFAS,12,Wittenberge,11.759441,52.985531,1,NRT_6h,C171,Elbe,DE,123300.0,123532.0,Elbe,3.0,0,True,1,1,1,1,1,1,16.72,True,4432500.0,3327500.0,6.0,ID_14.mod,,14,True,1004,True,Elbe,0.745,0.756,1.069,0.971
15,EFAS,12,Aken,12.058857,51.857869,1,NRT_6h,C349,Elbe,DE,69875.0,70093.0,Elbe,3.0,0,True,1,1,1,1,1,1,50.2,True,4457500.0,3202500.0,6.0,ID_15.mod,,15,True,1004,True,Elbe,0.561,0.629,1.182,1.149
16,EFAS,12,Magdeburg-Strombruecke,11.644332,52.1297,1,NRT_6h,,Elbe,DE,94975.0,94942.0,Elbe,2.0,0,True,1,1,1,1,1,1,39.88,False,4437500.0,3222500.0,6.0,ID_16.mod,Close to 4,16,True,1004,True,Elbe,,,,
17,EFAS,12,Havelberg Stadt,12.07804,52.824075,1,NRT_6h,,Elbe,DE,23550.0,23858.0,Elbe,1.0,0,True,1,1,1,1,1,1,21.57,False,4462500.0,3302500.0,6.0,ID_17.mod,Outliers exclude 2013 flood  negative values removed with qc,17,True,1004,True,Lower Havel waterway,0.63,0.639,0.958,1.068
18,EFAS,12,Halle-Trotha UP,11.954551,51.514254,1,NRT_6h,C350,Elbe,DE,18000.0,17988.0,Elbe,3.0,0,True,1,1,1,1,1,1,69.34,True,4457500.0,3157500.0,6.0,ID_18.mod,small outliers,18,True,1004,True,Saale,0.711,0.758,0.99,1.158
19,EFAS,12,Neu Darchau,10.8888,53.232262,1,NRT_6h,C172,Elbe,DE,131450.0,131950.0,Elbe,3.0,0,True,1,1,1,1,1,1,5.68,True,4377500.0,3352500.0,6.0,ID_19.mod,,19,True,1004,True,Elbe,0.714,0.723,1.071,1.005
20,EFAS,12,Schwedt-Oderbruecke,14.311627,53.035578,1,,,Oder,DE,112475.0,112950.0,Oder,,0,False,0,0,1,0,1,1,-4.99,False,4607500.0,3332500.0,,,No discharge data available for calibration period,20,False,1004,False,Oder,,,,
21,EFAS,12,Eisenhuettenstadt,14.687965,52.153321,1,NRT_6h,C365,Oder,DE,51150.0,52033.0,Oder,3.0,0,True,1,1,1,1,1,1,25.17,True,4642500.0,3237500.0,6.0,ID_21.mod,,21,True,1004,True,Oder,0.64,0.691,1.153,1.104
22,EFAS,12,Kienitz,14.433228,52.679839,1,,,Oder,DE,109425.0,109093.0,Oder,,0,False,0,0,1,0,1,1,5.2,False,4622500.0,3292500.0,,,No discharge data available for calibration period,22,False,1004,False,Oder,,,,
23,EFAS,12,Frankfurt (Oder),14.551714,52.357808,1,,,Oder,DE,51925.0,53580.0,Oder,,0,False,0,0,1,0,1,1,17.19,False,4632500.0,3262500.0,,,No discharge data available for calibration period,23,False,1004,False,Oder,,,,
24,EFAS,12,Stuetzkow,14.19335,52.983722,1,,,Oder,DE,112450.0,112143.0,Oder,,0,False,0,0,1,0,1,1,-5.0,False,4602500.0,3327500.0,,,No discharge data available for calibration period,24,False,1004,False,Oder,,,,
25,EFAS,12,Kietz,14.630298,52.577597,1,,,Oder,DE,52450.0,53752.0,Oder,,0,False,0,0,1,0,1,1,8.69,False,4637500.0,3282500.0,,,No discharge data available for calibration period,25,False,1004,False,Oder,,,,
26,EFAS,12,Hohensaaten-Finow,14.141123,52.864739,1,NRT_6h,C178,Oder,DE,109875.0,109564.0,Oder,3.0,0,True,1,1,1,1,1,1,0.16,True,4602500.0,3307500.0,6.0,ID_26.mod,,26,True,1004,True,Oder,0.572,0.581,1.035,0.92
27,EFAS,12,Leun (Neu),8.355275,50.545134,1,NRT_6h,C338,Rhine,DE,3575.0,3571.0,Rhine,3.0,0,True,1,1,1,1,1,1,135.0,True,4207500.0,3047500.0,6.0,ID_27.mod,,27,True,1004,True,Lahn,0.85,0.916,0.941,0.89
28,EFAS,12,Maxau,8.305614,49.038957,1,HIST_6h,,Rhine,DE,50425.0,50196.0,Rhine,1.0,0,True,1,1,1,1,1,1,97.79,False,4192500.0,2877500.0,6.0,ID_28.mod,Limited data period,28,True,1004,True,Rhine,0.932,0.934,1.008,0.988
29,EFAS,12,Raunheim,8.44832,50.01613,1,NRT_6h,,Rhine,DE,27100.0,27142.0,Rhine,0.0,0,True,1,1,1,1,1,1,82.9,False,4207500.0,2987500.0,6.0,ID_29.mod,oscillations jumps missing data,29,True,1004,True,Main,0.8,0.814,1.072,0.998
30,EFAS,12,Plittersdorf,8.135974,48.885937,1,NRT_6h,,Rhine,DE,48500.0,48276.0,Rhine,3.0,0,True,1,1,1,1,1,1,106.76,True,4182500.0,2862500.0,6.0,ID_30.mod,,30,True,1004,True,Rhine,,,,
31,EFAS,12,Frankfurt-Osthafen,8.715027,50.105711,1,NRT_6h,C211,Rhine,DE,24775.0,24764.0,Rhine,1.0,0,True,1,1,1,1,1,1,90.64,False,4222500.0,2997500.0,6.0,ID_31.mod,Quite large oscillations in low flow  no large flood peaks could use hist_24 instead,31,True,1004,True,Main,0.607,0.827,1.308,0.828
32,EFAS,12,Perl,6.369075,49.472537,1,NRT_6h,C207,Rhine,DE,11525.0,11522.0,Rhine,3.0,0,True,1,1,1,1,1,1,138.5,True,4057500.0,2942500.0,6.0,ID_32.mod,Use after 03-2013  Outliers removed with qcc and small oscillations zeros,32,True,1004,True,Moselle,0.843,0.915,1.038,0.874
33,EFAS,12,Plochingen,9.419239,48.707411,1,NRT_6h,C342,Rhine,DE,3975.0,3995.0,Rhine,3.0,0,True,1,1,1,1,1,1,245.9,True,4277500.0,2842500.0,6.0,ID_33.mod,,33,True,1004,True,Neckar,0.722,0.807,0.927,1.186
34,EFAS,12,Schweinfurt Neuer Hafen,10.220745,50.031183,1,NRT_6h,,Rhine,DE,12825.0,12715.0,Rhine,1.0,0,True,1,1,1,1,1,1,204.04,False,4332500.0,2982500.0,6.0,ID_34.mod,Outliers  small oscillations  zeros  qc,34,True,1004,True,Main,0.781,0.845,1.152,0.97
35,EFAS,12,Kleinheubach,9.233046,49.713596,1,NRT_6h,C335,Rhine,DE,21550.0,21505.0,Rhine,0.0,0,True,1,1,1,1,1,1,119.62,False,4262500.0,2957500.0,6.0,ID_35.mod,Wrong hydrometric zero or wrong rating curve  could use hist_24 instead,35,True,1004,True,Main,,,,
36,EFAS,12,Kaub,7.764994,50.085407,1,NRT_6h,C202,Rhine,DE,103525.0,103488.0,Rhine,3.0,0,True,1,1,1,1,1,1,67.68,True,4162500.0,2992500.0,6.0,ID_36.mod,,36,True,1004,True,Rhine,0.922,0.93,1.016,1.03
37,EFAS,12,Obernau,9.129109,49.933776,1,,,Rhine,DE,22275.0,22300.0,Rhine,,0,False,0,0,1,0,1,1,107.8,False,4257500.0,2977500.0,,,No discharge data available for calibration period,37,False,1004,False,Main,,,,
38,EFAS,12,Cochem,7.16831,50.143322,1,NRT_6h,C208,Rhine,DE,27025.0,27088.0,Rhine,3.0,0,True,1,1,1,1,1,1,77.0,True,4122500.0,3007500.0,6.0,ID_38.mod,,38,True,1004,True,Moselle,0.911,0.921,0.993,0.961
39,EFAS,12,Trunstadt,10.75524,49.92968,1,NRT_6h,,Rhine,DE,11950.0,12010.0,Rhine,3.0,0,True,1,1,1,1,1,1,223.4,True,4372500.0,2982500.0,6.0,ID_39.mod,Outliers  zeros removed with qc,39,True,1004,True,Main,0.798,0.834,1.112,1.031
40,EFAS,12,Koeln,6.963322,50.936914,1,NRT_6h,,Rhine,DE,144150.0,144231.54,Rhine,2.0,0,True,1,1,1,1,1,1,34.97,False,4107500.0,3092500.0,6.0,ID_40.mod,Few outliers removed with qc close to 58 and 62,40,True,1004,True,Rhine,0.932,0.934,1.012,0.998
41,EFAS,12,Oberwinter,7.215007,50.601027,1,,,Rhine,DE,140625.0,140738.0,Rhine,,0,False,0,0,1,0,1,1,47.13,False,4122500.0,3057500.0,,,No discharge data available for calibration period,41,False,1004,False,Rhine,,,,
42,EFAS,12,Kalkofen (Neu),7.889898,50.317832,1,NRT_6h,,Rhine,DE,5275.0,5304.0,Rhine,3.0,0,True,1,1,1,1,1,1,86.39,True,4172500.0,3027500.0,6.0,ID_42.mod,,42,True,1004,True,Lahn,0.898,0.935,0.933,0.957
43,EFAS,12,Wuerzburg,9.926005,49.796189,1,NRT_6h,C340,Rhine,DE,14125.0,14031.0,Rhine,2.0,0,True,1,1,1,1,1,1,164.55,False,4317500.0,2967500.0,6.0,ID_43.mod,Outliers  zeros removed with qc  small oscillations  close to 39 and 59,43,True,1004,True,Main,,,,
44,EFAS,12,Ruwer,6.70427,49.783015,1,,,Rhine,DE,23975.0,23883.0,Rhine,,0,False,0,0,1,0,1,1,121.0,False,4082500.0,2967500.0,,,No discharge data available for calibration period,44,False,1004,False,Moselle,,,,
45,EFAS,12,Worms,8.377548,49.631858,1,NRT_6h,C204,Rhine,DE,68950.0,68936.0,Rhine,3.0,0,True,1,1,1,1,1,1,84.16,True,4202500.0,2947500.0,6.0,ID_45.mod,,45,True,1004,True,Rhine,0.923,0.927,1.022,1.014
46,EFAS,12,Emmerich,6.245604,51.829213,1,NRT_6h,,Rhine,DE,159550.0,159555.0,Rhine,2.0,0,True,1,1,1,1,1,1,8.0,False,4057500.0,3197500.0,6.0,ID_46.mod,Close to 153,46,True,1004,True,Rhine,,,,
47,EFAS,12,Ruhrort,6.727942,51.455309,1,NRT_6h,,Rhine,DE,152875.0,153176.0,Rhine,3.0,0,True,1,1,1,1,1,1,16.09,True,4092500.0,3157500.0,6.0,ID_47.mod,,47,True,1004,True,Rhine,0.933,0.935,1.015,1.001
48,EFAS,12,Rees,6.395703,51.756915,1,NRT_6h,,Rhine,DE,159400.0,159683.0,Rhine,2.0,0,True,1,1,1,1,1,1,8.73,False,4067500.0,3192500.0,6.0,ID_48.mod,Close to 153,48,True,1004,True,Rhine,,,,
