ObsID,National_Station_Identifier,StationName,Provider ID,Country code,StationLon,StationLat,Height,DrainingArea.km2.Provider,River,Catchment,EC_Catchments,Calibration ID,DrainingArea.km2.LDD5k,LisfloodX5k,LisfloodY5k,DrainingArea.km2.LDD,LisfloodX,LisfloodY,RealTime,PostProcess,FixedRepPoint,LSFCalib,HasWL,HasD,HasOpWL,HasOpD,Alive,HasRTWL,HasRTD,HasHWL,HasHD,Exclude5k,CAL_TYPE5k,Notes5k,EC_calib5k,Notes,QC,EC_issue,EC_calib,send_to_partners,first_valid_date_24H,last_valid_date_24H,data_count_24H,first_valid_date_6H,last_valid_date_6H,data_count_6H,HRES_cal_step_24,HRES_cal_step_6,first_valid_date_calib,last_valid_date_calib,data_count_calib,CAL_TYPE,Spinup_days,Min_calib_days,Cal_head,Cal_single,Cal_area,CalRes,CalLakes,DP_comment,calc_start_date,calc_end_date,calc_steps,KGE,KGE_r,KGE_B,KGE_y,NS,NSLOG,MAE,RMSE,CORR,BIAS,PC_BIAS,PC_BIAS2,APB,APB2,RSR,VR
1,10062000,Schwabelweis,1004,DE,12.13873,49.023585,324.49,35399,Danube,Danube,Danube,-,35525,4477500.0,2882500.0,35439.5,12.14167,49.025,True,True,True,False,1,1,1,1,1,1,1,1,1,0,NRT_6h,Oscillations in lower flow  use 3,1,,3,,1,0,01/01/1991,31/12/2021,10233.0,01/07/2013 00:00,31/12/2021 18:00,12235.0,True,True,01/07/2013 00:00,31/12/2021 18:00,3058.75,6.0,1095.0,1460.0,0.0,,2140.281216,,,,2013-07-01 00:00:00,2021-12-31 18:00:00,12235.0,0.8606325746918906,0.8742687440965594,1.0561849836978217,0.9785949040452858,0.7257145574169823,0.6636215130252507,74.19783774827542,99.00427448816116,0.8742687440965594,21.761790209710615,5.618498369782195,5.6184983697821576,19.15653199542502,5.6184983697821576,0.5237226771708643,0.9785949040452858
2,10088003,Hofkirchen,1004,DE,13.115212,48.676627,299.6,47496,Danube,Danube,Danube,C059,47525,4547500.0,2847500.0,47585.7,13.10833,48.675,True,True,True,True,1,1,1,1,1,1,1,1,1,0,NRT_6h,-,3,keeping it for routing,3,,1,1,03/01/1990,31/12/2021,10451.0,01/11/2013 00:00,31/12/2021 18:00,11585.0,True,True,01/11/2013 00:00,31/12/2021 18:00,2896.25,6.0,1095.0,1460.0,0.0,,880.483456,,,recommended,2013-11-01 00:00:00,2021-12-31 18:00:00,11585.0,0.843672604137433,0.8780937616470987,1.0978575852414618,1.0010083444487936,0.6754436997214627,0.6684061858132178,104.05626300253005,142.02753055726404,0.8780937616470987,53.94459975844094,9.785758524146239,9.785758524146189,18.87620757643065,9.785758524146189,0.5696984292400099,0.9989916555512064
3,10078000,Pfelling,1004,DE,12.747379,48.879843,310.25,37687,Danube,Danube,Danube,C362,37725,4517500.0,2867500.0,37764.2,12.75833,48.875,True,True,True,False,1,1,1,1,1,1,1,1,1,0,NRT_6h,Use 886 which has more data almost same location Same location as 886,2,close to 886  excluded by DP,3,DP,0,1,03/01/1990,31/12/2021,10482.0,13/10/2013 00:00,31/12/2021 18:00,11720.0,True,True,,,,,,,,,,,,exclude,,,,,,,,,,,,,,,,,,,
4,502070,Barby,1004,DE,11.882244,51.984836,46.11,94060,Elbe,Elbe,Elbe,C348,93975,4452500.0,3207500.0,93702.5,11.89167,51.99167,True,True,True,True,1,1,1,1,1,1,1,1,1,0,NRT_6h,-,3,,3,,1,1,01/01/1991,31/12/2021,10247.0,01/07/2013 00:00,31/12/2021 18:00,12230.0,True,True,01/07/2013 00:00,31/12/2021 18:00,3057.5,6.0,1095.0,1460.0,0.0,,975.535488,,,recommended,2013-07-01 00:00:00,2021-12-31 18:00:00,12230.0,0.6132590732458281,0.6529655534312593,1.1617930895036581,1.0543933222947905,-0.00022881048300349427,0.25109535956868356,131.30893431302502,192.26029276601938,0.6529655534312593,60.60369425672217,16.179308950365797,16.179308950365815,35.05541769771041,16.179308950365815,1.0001143986979706,0.9456066777052095
5,501420,Wittenberg / Lutherstadt,1004,DE,12.646309,51.856531,62.44,61879,Elbe,Elbe,Elbe,C164,61675,4497500.0,3197500.0,60768.0,12.64167,51.85833,True,True,True,True,1,1,1,1,1,1,1,1,1,0,NRT_6h,-,3,,3,,1,1,03/01/1990,31/12/2021,10865.0,15/08/2012 06:00,31/12/2021 18:00,13296.0,True,True,15/08/2012 06:00,31/12/2021 18:00,3324.0,6.0,1095.0,1460.0,0.0,,2987.836672,,,recommended,2012-08-15 06:00:00,2021-12-31 18:00:00,13296.0,0.6918231499486944,0.7532918646567068,1.1679263821659807,0.92313130002644,0.4246502916008592,0.1873268375782765,114.62361385456738,181.89644282999714,0.7532918646567068,46.292880326923395,16.79263821659824,16.792638216598057,41.57945811419623,16.792638216598057,0.7585181002449074,0.92313130002644
6,596390,Malliss OP,1004,DE,11.345254,53.190627,19.75,2879,Muritz-Elde,Elbe,Elbe,C558,2900,4407500.0,3342500.0,2935.1,11.34167,53.19167,True,True,True,False,1,1,1,1,1,1,1,1,1,0,NRT_6h,unrealistic low discharge same for daily data  possibly wrong location,0,low discharge but seems OK,1,,1,0,03/01/1990,31/12/2021,10080.0,11/07/2014 00:00,31/12/2021 18:00,9984.0,True,True,11/07/2014 00:00,31/12/2021 18:00,2496.0,6.0,1095.0,1460.0,0.0,,1695.675264,,1.0,,2014-07-11 00:00:00,2021-12-31 18:00:00,9984.0,0.3454619472253796,0.8999970040483128,1.6240234664642137,1.1703354826002643,-0.8134265393966362,0.2166833428114916,4.936124117790629,7.038186183606798,0.8999970040483128,4.122345722751791,62.402346646421,62.402346646421364,74.72098387772121,62.402346646421364,1.3466352659115395,0.8296645173997357
7,5910010,Schnackenburg,1004,DE,11.569159,53.038253,13.7,125482,Elbe,Elbe,Elbe,-,125175,4422500.0,3327500.0,123010.6,11.575,53.04167,False,False,False,False,1,0,1,0,1,1,0,1,0,0,-,No discharge data available for calibration period,-,,-,,0,0,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,582670,Grosse Traenke Wehr UP,1004,DE,13.996386,52.369055,34.8,6170.92,Muggelspree,Elbe,Elbe,-,6625,4592500.0,3257500.0,5971.3,13.99167,52.375,False,False,True,False,1,0,1,0,1,1,1,1,1,0,HIST_24h,oscillations doscharge is too low compared to size of catchment possibly wrong data,0,discharge is too low compared to size of catchment  station is probably on a lateral channel,0,no_calib,0,0,03/01/1990,01/01/2020,9981.0,01/07/2013 00:00,01/01/2020 00:00,9501.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,580650,Rathenow UP,1004,DE,12.321014,52.607446,24.52,19288.46,Lower Havel,Elbe,Elbe,C351,18875,4472500.0,3287500.0,18002.4,12.325,52.60833,False,False,True,True,1,0,1,0,1,1,0,1,1,0,HIST_24h,-,3,,2,,1,1,03/01/1990,19/05/2010,7381.0,,,,True,False,03/01/1990 00:00,19/05/2010 00:00,7381.0,24.0,1095.0,1460.0,0.0,,3049.74464,,,recommended,1991-01-03 00:00:00,2010-05-19 00:00:00,7020.0,0.692300189876089,0.7411893005241668,0.8904469374421178,1.1252769790157378,0.4443027378103024,0.540378909315624,22.92019850957775,30.671203741191835,0.7411893005241668,-7.918247661569354,-10.95530625578822,-10.955306255788223,31.711283209108263,10.955306255788223,0.7454510461389803,0.8747230209842622
10,596080,Plau OP,1004,DE,12.259913,53.456704,60.16,1230,Muritz-Elde,Elbe,Elbe,-,1250,4467500.0,3377500.0,1239.4,12.25833,53.45833,True,True,True,False,1,1,1,1,1,1,1,1,1,0,NRT_6h,low quality data  very small flow a   lake,0,Regulated,1,,1,0,03/01/1990,31/12/2021,10246.0,01/01/2014 00:00,31/12/2021 18:00,10955.0,True,True,01/01/2014 00:00,31/12/2021 18:00,2738.75,6.0,1095.0,1460.0,1.0,0.0,1239.42208,,1.0,,2014-01-01 00:00:00,2021-12-31 18:00:00,10955.0,-0.714552568761653,0.32431026346410197,2.575711270013478,0.9836328212649731,-10.05379441532364,-2.3335890986123724,2.561315369887364,3.4014097303555584,0.32431026346410197,2.350426721857178,157.57112700134806,157.5711270013478,171.70896913566935,157.5711270013478,3.3247247127128507,0.9836328212649731
