id,name,river,subcatchment,catchment,country,area,strahler,pfafstetter,calibrated,X,Y,notes,KGE,correlation,bias,variability
1,Schwabelweis,Danube,Danube,Danube,DE,35525,,211311.0,False,4477500,2882500,Oscillations in lower flow  use 3,0.861,0.874,1.056,0.979
2,Hofkirchen,Danube,Danube,Danube,DE,47525,,211111.0,True,4547500,2847500,,0.844,0.878,1.098,1.001
3,Pfelling,Danube,Danube,Danube,DE,37725,,211311.0,False,4517500,2867500,Use 886 which has more data almost same location Same location as 886,,,,
4,Barby,Elbe,"Elbe, below Saale",Elbe,DE,93975,1.0,3111.0,True,4452500,3207500,,0.613,0.653,1.162,1.054
5,Wittenberg / Lutherstadt,Elbe,Elbe,Elbe,DE,61675,1.0,7111.0,True,4497500,3197500,,0.692,0.753,1.168,0.923
6,Malliss OP,Muritz-Elde,Elbe,Elbe,DE,2900,2.0,1141.0,False,4407500,3342500,unrealistic low discharge same for daily data  possibly wrong location,0.345,0.9,1.624,1.17
8,Grosse Traenke Wehr UP,Muggelspree,Havel,Elbe,DE,6625,3.0,2211.0,False,4592500,3257500,oscillations doscharge is too low compared to size of catchment possibly wrong data,,,,
9,Rathenow UP,Havel,Havel,Elbe,DE,18875,2.0,2111.0,True,4472500,3287500,,0.692,0.741,0.89,1.125
10,Plau OP,Muritz-Elde,Elbe,Elbe,DE,1250,2.0,1141.0,False,4467500,3377500,low quality data  very small flow a   lake,-0.715,0.324,2.576,0.984
11,Calbe Grizehne,Saale,Saale,Elbe,DE,23725,2.0,4111.0,True,4442500,3202500,,0.718,0.753,1.12,0.938
12,Tangermuende,Elbe,"Elbe, below Saale",Elbe,DE,97875,1.0,3111.0,True,4457500,3272500,,0.751,0.775,1.107,1.004
13,Bernburg UP,Saale,Saale,Elbe,DE,19700,2.0,4111.0,False,4442500,3187500,Few outliers removed with qc close to 11,,,,
14,Wittenberge,Elbe,Elbe,Elbe,DE,123300,1.0,1151.0,True,4432500,3327500,,0.745,0.756,1.069,0.971
15,Aken,Elbe,"Elbe, below Mulde",Elbe,DE,69875,1.0,5111.0,True,4457500,3202500,,0.561,0.629,1.182,1.149
16,Magdeburg-Strombruecke,Elbe,"Elbe, below Saale",Elbe,DE,94975,1.0,3111.0,False,4437500,3222500,Close to 4,,,,
17,Havelberg Stadt,Lower Havel waterway,Havel,Elbe,DE,23550,2.0,2111.0,False,4462500,3302500,Outliers exclude 2013 flood  negative values removed with qc,0.63,0.639,0.958,1.068
18,Halle-Trotha UP,Saale,Saale,Elbe,DE,18000,2.0,4111.0,True,4457500,3157500,small outliers,0.711,0.758,0.99,1.158
19,Neu Darchau,Elbe,Elbe,Elbe,DE,131450,1.0,1131.0,True,4377500,3352500,,0.714,0.723,1.071,1.005
21,Eisenhuettenstadt,Oder,"Oder, below Neisse",Oder,DE,51150,1.0,3111.0,True,4642500,3237500,,0.64,0.691,1.153,1.104
26,Hohensaaten-Finow,Oder,"Oder, below Warta",Oder,DE,109875,1.0,1311.0,True,4602500,3307500,,0.572,0.581,1.035,0.92
27,Leun (Neu),Lahn,Lahn,Rhine,DE,3575,,5211.0,True,4207500,3047500,,0.85,0.916,0.941,0.89
28,Maxau,Rhine,Rhine,Rhine,DE,50425,,11111.0,False,4192500,2877500,Limited data period,0.932,0.934,1.008,0.988
29,Raunheim,Main,Main,Rhine,DE,27100,,8111.0,False,4207500,2987500,oscillations jumps missing data,0.8,0.814,1.072,0.998
30,Plittersdorf,Rhine,Rhine,Rhine,DE,48500,,11111.0,True,4182500,2862500,,,,,
31,Frankfurt-Osthafen,Main,Main,Rhine,DE,24775,,8311.0,False,4222500,2997500,Quite large oscillations in low flow  no large flood peaks could use hist_24 instead,0.607,0.827,1.308,0.828
32,Perl,Moselle,Moselle,Rhine,DE,11525,,4511.0,True,4057500,2942500,Use after 03-2013  Outliers removed with qcc and small oscillations zeros,0.843,0.915,1.038,0.874
33,Plochingen,Neckar,Neckar,Rhine,DE,3975,,10311.0,True,4277500,2842500,,0.722,0.807,0.927,1.186
34,Schweinfurt Neuer Hafen,Main,Main,Rhine,DE,12825,,8711.0,False,4332500,2982500,Outliers  small oscillations  zeros  qc,0.781,0.845,1.152,0.97
35,Kleinheubach,Main,Main,Rhine,DE,21550,,8511.0,False,4262500,2957500,Wrong hydrometric zero or wrong rating curve  could use hist_24 instead,,,,
36,Kaub,Rhine,Rhine,Rhine,DE,103525,,5311.0,True,4162500,2992500,,0.922,0.93,1.016,1.03
