ResID,TAG,SOURCE,TYPE,COUNTRY,DAM_NAME,ACTIVE_FRO,LON_ORG,LAT_ORG,LisfloodX,LisfloodY
1,ERM,Peter_Spain,RESERVOIR_M_EUR,Spain,NEGRATIN_5043,1984,-2.984429568,37.55119515,-2.94167,37.55833
2,ERM,Peter_Spain,RESERVOIR_M_EUR,Spain,GUADALEN_5004,1954,-3.496655277,38.17024178,-3.475,38.175
3,ERM,Peter_Spain,RESERVOIR_M_EUR,Spain,GUADALMENA_5018,1969,-2.898294744,38.37893342,-2.90833,38.35833
4,ERM,Peter_Spain,RESERVOIR_M_EUR,Spain,GIRIBAILE_5070,1996,-3.488523282,38.12580763,-3.475,38.09167
5,ERM,Peter_Spain,RESERVOIR_M_EUR,Spain,RUMBLAR_5005,0,-3.787173795,38.17919515,-3.80833,38.175
6,ERM,Peter_Spain,RESERVOIR_M_EUR,Spain,JANDULA_5007,1932,-3.973379365,38.24629579,-3.975,38.225
7,ERM,Peter_Spain,RESERVOIR_M_EUR,Spain,YEGUAS_5049,0,-4.17350647,38.08384497,-4.24167,38.075
8,ERM,Peter_Spain,RESERVOIR_M_EUR,Spain,GUADALMELLATO_5062,1928,-4.689060588,38.06039841,-4.675,38.04167
9,ERM,Peter_Spain,RESERVOIR_M_EUR,Spain,San Rafael De Navallana_5051,1991,-4.615099887,37.97942443,-4.60833,37.975
10,ERM,Peter_Spain,RESERVOIR_M_EUR,Spain,VADOMOJON_5066,0,-4.209175793,37.66972184,-4.225,37.64167
11,ERM,Peter_Spain,RESERVOIR_M_EUR,Spain,PUENTE_NUEVO_5036,1972,-4.923147316,38.07373036,-4.925,38.09167
12,ERM,Peter_Spain,RESERVOIR_M_EUR,Spain,BEMBEZAR_5012,1963,-5.242151201,37.93784054,-5.225,37.90833
13,ERM,Peter_Spain,RESERVOIR_M_EUR,Spain,IZNAJAR_5026,1969,-4.364707146,37.28495809,-4.375,37.275
14,ERM,Peter_Spain,RESERVOIR_M_EUR,Spain,HUESNA_5056,1990,-5.672006747,37.78459941,-5.69167,37.775
15,ERM,Peter_Spain,RESERVOIR_M_EUR,Spain,EL PINTADO_5011,1948,-5.953691475,38.01649956,-5.95833,37.99167
16,ERM,Peter_Spain,RESERVOIR_M_EUR,Spain,ALCALA_DEL_RIO_5035,0,-5.95969177,37.51388061,-5.975,37.525
17,ERM,Peter_Spain,RESERVOIR_M_EUR,Spain,ZUFRE_5054,0,-6.316714326,37.82473027,-6.29167,37.80833
18,ERM,Peter_Spain,RESERVOIR_M_EUR,Spain,MEQUINENZA,1966,0.285597122,41.37042159,0.275,41.375
19,ERM,Peter_Spain,RESERVOIR_M_EUR,Spain,EBRO,1945,-4.039554945,42.96322473,-4.04167,42.975
20,ERM,Peter_Spain,RESERVOIR_M_EUR,Spain,YESA,0,-1.180936412,42.59539322,-1.175,42.60833
21,ERM,Peter_Spain,RESERVOIR_M_EUR,Spain,El Grado 1,0,0.231873173,42.17915086,0.225,42.175
22,ERM,Merged,RESERVOIR_M_EUR,Spain,Canelles / SANTA ANA,1961,0.576311,41.891005,0.59167,41.89167
23,ERM,Peter_Spain,RESERVOIR_M_EUR,Spain,OLIANA,1959,1.280108854,42.08021635,1.30833,42.10833
24,ERM,Peter_Spain,RESERVOIR_M_EUR,Spain,LA TRANQUERA,1960,-1.806665487,41.2657095,-1.79167,41.25833
25,ERM,Peter_Spain,RESERVOIR_M_EUR,Spain,SANTOLEA,1932,-0.289188491,40.77844391,-0.325,40.775
26,ERM,Peter_Spain,RESERVOIR_M_EUR,Spain,SAN LORENZO MONGAY,1930,0.822318471,41.86520872,0.84167,41.85833
27,ERM,Peter_Spain,RESERVOIR_M_EUR,Spain,RIALB,1999,1.231197638,41.98637314,1.19167,41.94167
28,ERM,Peter_Spain,RESERVOIR_M_EUR,Spain,ITOIZ,2003,-1.401083874,42.80031302,-1.375,42.80833
29,ERM,Peter_Spain,RESERVOIR_M_EUR,Spain,RIBARROJA,1969,0.422952978,41.24622065,0.425,41.25833
30,ERM,Peter_Spain,RESERVOIR_M_EUR,Spain,LA SOTONERA,1963,-0.671069098,42.10042961,-0.675,42.10833
31,ERM,Peter_Spain,RESERVOIR_M_EUR,Spain,ESCALES,1955,0.756468782,42.35673134,0.74167,42.34167
32,ERM,Peter_Spain,RESERVOIR_M_EUR,Spain,BARASONA-JOAQUIN COSTA,0,0.298494939,42.13947929,0.30833,42.125
33,ERM,Merged,RESERVOIR_M_EUR,Spain,La Serena/Zujar,0,-5.505988953,38.90246811,-5.45833,38.925
34,ERM,Peter_Spain,RESERVOIR_M_EUR,Spain,ORELLANA,0,-5.525302785,38.99081817,-5.54167,38.99167
35,ERM,Burek_Res,RESERVOIR_M_EUR,Finland,Tainionkoski,1948,28.2,61.39,28.79167,61.24167
36,ERM,Burek_Res,RESERVOIR_M_EUR, , ,1926,31.3,58.3,31.275,58.45833
37,ERM,Burek_Res,RESERVOIR_M_EUR,Syria,Tabqa,0,38.1,36.07,38.55833,35.85833
38,ERM,Burek_Res,RESERVOIR_M_EUR,Turkey,Keban,1974,39.23,38.87,38.75833,38.80833
39,ERM,Burek_Res,RESERVOIR_M_EUR,Finland,Lokka,1967,27.77,67.97,27.74167,67.825
40,ERM,Burek_Res,RESERVOIR_M_EUR, , ,0,10.99,60.82,10.99167,60.80833
42,ERM,Burek_Res,RESERVOIR_M_EUR, , ,1957,29.75,62.87,29.65833,62.69167
43,ERM,Burek_Res,RESERVOIR_M_EUR, , ,1992,38.38,37.6,38.30833,37.475
44,ERM,Burek_Res,RESERVOIR_M_EUR,Finland,Porttipahdan/Tekorjarvi Lake,1970,26.67,68.07,26.74167,67.975
45,ERM,Burek_Res,RESERVOIR_M_EUR,Russia,Onda,1956,33.37,63.78,33.64167,63.75833
46,ERM,Burek_Res,RESERVOIR_M_EUR, , ,1958,30.7,62.97,30.64167,62.85833
47,ERM,Burek_Res,RESERVOIR_M_EUR,Turkey,Hirfanli,1959,33.69,39.16,33.525,39.275
48,ERM,Burek_Res,RESERVOIR_M_EUR, , ,1968,27.53,66.62,27.375,66.45833
49,ERM,Burek_Res,RESERVOIR_M_EUR, , ,1952,34.9,61.11,34.89167,61.10833
50,ERM,Burek_Res,RESERVOIR_M_EUR, , ,1971,23.51,61.37,23.50833,61.375
