ResID,GLWD_ID,GRAND_ID,Source,LAKE_NAME,DAM_NAME,LONG_DEG,LAT_DEG,LONG_OUTLE,LAT_OUTLET,VOLUME_Gra,VOL_SRC,COUNTRY,SEC_CNTRY,RIVER,NEAR_CITY,DAM_YEAR,note,X_coord,Y_coord,X_CORRECT,Y_CORRECT,LisfloodX3,LisfloodY3,remap_com
1,NA,3662,GranD,,Nangbeto,NA,NA,1.43375,7.432917,1710,GranD,Togo,Benin,Mono,Atakapame,1987,added from GranD from Berny's list,NA,NA,1.45,7.35,1.475,7.325,shift 1 pixel south
2,NA,408,GranD,,Lower Salmon,NA,NA,-114.905417,42.84125,13.4,GranD,United States,,Snake River,,1949,"added from GranD, GloFAS station below G0652",NA,NA,-114.95,42.75,-114.375,42.575,remapped
3,NA,717,GranD,,McArthur,NA,NA,-95.98875,50.39875,220,GranD,Canada,,Winnipeg,Winnipeg,1954,added from GranD,NA,NA,-95.95,50.35,-95.975,50.375,remapped
4,NA,704,GranD,,Long Spruce,NA,NA,-94.370417,56.397917,277,GranD,Canada,,Nelson,Gillam,1977,"added from GranD, GloFAS station G0226",NA,NA,-94.35,56.35,-94.425,56.375,remapped
5,1915,NA,GLWD,,Qyrsac,20.26,42.14,NA,NA,NA,ICOLD,Albania,,Drin,Shkoder,1972,"cat2, clts, not mr, not fc",20.05,42.25,20.05,42.25,20.075,42.225,remapped
6,2460,NA,GLWD,,Mitchinamecus,-75.09,47.35,NA,NA,NA,ICOLD_LRs,Canada,,Lievre,Menjo,1942,,-75.15,47.25,-75.15,47.25,-75.175,47.225,remapped
7,3673,NA,GLWD,Clinton Lake,,-95.35,38.92,NA,NA,NA,Statistics,United States,,,,0,,-95.35,38.95,-95.35,38.95,-95.325,38.925,remapped
8,3689,NA,GLWD,,Syncrude Tailings,-111.33,57.48,NA,NA,NA,LRs,Canada,,Piece,Fort McMurray,1992,,-111.25,57.45,-111.25,57.45,-111.325,57.475,unsure of position
9,3719,NA,GLWD,,Callada,77.17,8.53,NA,NA,NA,LRs,India,,Callada,Trivandrum,0,"cat2, cts 1 pixel",77.15,8.55,77.15,8.55,77.125,8.525,remapped
10,2512,NA,GLWD,Poco da Cruz,Poco Da Cruz,-37.63,-8.43,NA,NA,NA,ICOLD_LRs,Brazil,,Moxoto,Ibimirim,1957,,-37.65,-8.45,-37.65,-8.45,-37.675,-8.475,remapped
11,3676,NA,GLWD,,,26.85,-28.55,NA,NA,NA,Statistics,South Africa,,,,0,not mr,26.85,-28.55,26.85,-28.55,26.775,-28.525,remapped
12,2674,NA,GLWD,Tuttle Creek Lake,Tuttle Creek,-96.71,39.39,NA,NA,NA,LRs,United States,,Big Blue,Manhattan,1962,GloFAS station below G0741,-96.55,39.25,-96.65,39.35,-96.575,39.275,remapped
