date,storage,inflow,outflow
1982-01-02,0.967219,100.458,100.458
1982-01-03,0.967216,95.1425,95.1425
1982-01-04,0.967212,90.9778,90.9778
1982-01-05,0.967209,87.3681,87.3681
1982-01-06,0.967206,84.2354,84.2354
1982-01-07,0.967202,81.7393,81.7393
1982-01-08,0.967199,79.5843,79.5843
1982-01-09,0.967195,77.48,77.48
1982-01-10,0.967192,75.4241,75.4241
1982-01-11,0.967189,73.478,73.478
1982-01-12,0.967185,71.6218,71.6218
1982-01-13,0.967182,69.8192,69.8192
1982-01-14,0.967178,67.9991,67.9991
1982-01-15,0.967175,66.1432,66.1432
1982-01-16,0.967172,64.3821,64.3821
1982-01-17,0.967168,62.8571,62.8571
1982-01-18,0.967165,62.46,62.46
1982-01-19,0.967161,62.6308,62.6308
1982-01-20,0.967158,61.2466,61.2466
1982-01-21,0.967155,59.5654,59.5654
1982-01-22,0.967151,58.1158,58.1158
1982-01-23,0.967148,56.8555,56.8555
1982-01-24,0.967144,55.631,55.631
1982-01-25,0.967141,54.9681,54.9681
1982-01-26,0.967138,54.6281,54.6281
1982-01-27,0.967134,54.0692,54.0692
1982-01-28,0.967131,53.4818,53.4818
1982-01-29,0.967127,52.0909,52.0909
1982-01-30,0.967124,50.6148,50.6148
1982-01-31,0.967121,49.0717,49.0717
1982-02-01,0.967117,47.4659,47.4659
1982-02-02,0.967114,45.9486,45.9486
1982-02-03,0.96711,44.5305,44.5305
1982-02-04,0.967106,43.0471,43.0471
1982-02-05,0.967103,41.578,41.578
1982-02-06,0.967099,40.2925,40.2925
1982-02-07,0.967095,39.1554,39.1554
1982-02-08,0.967092,38.036,38.036
1982-02-09,0.967088,36.9584,36.9584
1982-02-10,0.967085,36.0041,36.0041
1982-02-11,0.967081,35.1234,35.1234
1982-02-12,0.967077,34.3045,34.3045
1982-02-13,0.96707,33.4868,33.6059
1982-02-14,0.967042,32.6494,33.51
1982-02-15,0.967024,33.1099,33.6241
1982-02-16,0.96702,36.6981,36.6981
1982-02-17,0.967017,44.2906,44.2906
1982-02-18,0.967013,52.4042,52.4042
1982-02-19,0.96701,54.5948,54.5948
1982-02-20,0.967006,55.172,55.172
1982-02-21,0.967002,62.0802,62.0802
1982-02-22,0.966999,82.7245,82.7245
1982-02-23,0.966995,115.021,115.021
1982-02-24,0.966992,141.876,141.876
1982-02-25,0.966988,160.393,160.393
1982-02-26,0.966984,187.065,187.065
1982-02-27,0.966981,223.379,223.379
1982-02-28,0.966977,240.612,240.612
1982-03-01,0.966974,226.98,226.98
1982-03-02,0.96697,198.068,198.068
1982-03-03,0.966966,168.767,168.767
1982-03-04,0.966962,145.102,145.102
1982-03-05,0.966959,128.293,128.293
1982-03-06,0.966955,118.52,118.52
1982-03-07,0.966951,114.469,114.469
1982-03-08,0.966948,113.748,113.748
1982-03-09,0.966944,112.102,112.102
1982-03-10,0.96694,106.868,106.868
1982-03-11,0.966936,98.3393,98.3393
1982-03-12,0.966933,89.1386,89.1386
1982-03-13,0.966929,80.9636,80.9636
1982-03-14,0.966925,74.3943,74.3943
1982-03-15,0.966922,72.2331,72.2331
1982-03-16,0.966918,79.8738,79.8738
1982-03-17,0.966914,100.748,100.748
1982-03-18,0.966911,122.734,122.734
1982-03-19,0.966907,133.307,133.307
1982-03-20,0.966903,135.469,135.469
1982-03-21,0.966899,134.993,134.993
1982-03-22,0.966896,133.33,133.33
1982-03-23,0.966892,128.208,128.208
1982-03-24,0.966888,120.264,120.264
1982-03-25,0.966885,111.149,111.149
1982-03-26,0.966881,101.627,101.627
1982-03-27,0.966877,91.8369,91.8369
1982-03-28,0.966873,82.7705,82.7705
1982-03-29,0.96687,75.3476,75.3476
1982-03-30,0.966866,70.457,70.457
1982-03-31,0.966862,67.6355,67.6355
1982-04-01,0.966859,68.0731,68.0731
1982-04-02,0.966855,78.8335,78.8335
1982-04-03,0.966851,105.299,105.299
1982-04-04,0.966847,131.915,131.915
1982-04-05,0.966843,141.73,141.73
1982-04-06,0.966839,139.353,139.353
1982-04-07,0.966835,134.696,134.696
1982-04-08,0.966831,130.985,130.985
1982-04-09,0.966828,126.08,126.08
1982-04-10,0.966824,118.192,118.192
1982-04-11,0.96682,107.471,107.471
1982-04-12,0.966816,95.8207,95.8207
1982-04-13,0.966812,86.3602,86.3602
1982-04-14,0.966808,78.9818,78.9818
1982-04-15,0.966804,75.7885,75.7885
1982-04-16,0.9668,90.6644,90.6644
1982-04-17,0.966796,160.68,160.68
1982-04-18,0.966793,295.004,295.004
1982-04-19,0.965666,390.048,429.409
1982-04-20,0.964564,401.232,439.758
1982-04-21,0.963694,364.292,394.645
1982-04-22,0.963691,314.669,314.669
1982-04-23,0.963687,268.322,268.322
1982-04-24,0.963683,229.606,229.606
1982-04-25,0.963679,198.52,198.52
1982-04-26,0.963675,174.159,174.159
1982-04-27,0.963671,157.815,157.815
1982-04-28,0.963667,156.776,156.776
1982-04-29,0.963663,191.842,191.842
1982-04-30,0.963659,280.254,280.254
1982-05-01,0.962759,387.947,419.399
1982-05-02,0.963944,476.854,435.16
1982-05-03,0.966904,544.969,441.017
1982-05-04,0.971031,591.75,446.846
1982-05-05,0.976031,622.47,447.0
1982-05-06,0.982321,667.723,447.0
1982-05-07,0.990502,734.047,447.0
1982-05-08,0.995665,768.77,587.545
1982-05-09,0.996826,737.852,697.002
1982-05-10,0.996199,673.923,695.782
1982-05-11,0.995106,616.817,654.999
1982-05-12,0.99428,584.837,613.677
1982-05-13,0.993934,579.109,591.1
1982-05-14,0.993762,576.305,582.185
1982-05-15,0.993457,561.728,572.263
1982-05-16,0.993052,542.152,556.24
1982-05-17,0.992775,532.159,541.718
1982-05-18,0.992691,532.117,534.919
1982-05-19,0.992767,538.137,535.336
1982-05-20,0.992998,550.614,542.37
1982-05-21,0.993334,566.939,555.001
1982-05-22,0.993696,582.87,570.037
1982-05-23,0.993979,593.846,583.771
1982-05-24,0.994045,593.235,590.776
1982-05-25,0.993861,580.911,587.222
1982-05-26,0.99356,565.517,575.95
1982-05-27,0.993298,554.807,563.858
1982-05-28,0.993129,549.334,555.118
1982-05-29,0.993013,545.543,549.457
1982-05-30,0.992997,546.154,546.569
1982-05-31,0.993239,560.388,551.766
1982-06-01,0.99376,587.589,569.163
1982-06-02,0.994355,614.945,593.951
1982-06-03,0.994623,621.851,612.28
1982-06-04,0.99446,606.849,612.43
1982-06-05,0.994162,590.672,600.961
1982-06-06,0.994033,587.572,591.933
1982-06-07,0.994103,594.352,591.746
1982-06-08,0.994273,603.516,597.416
1982-06-09,0.994446,611.232,605.023
1982-06-10,0.994515,612.62,610.033
1982-06-11,0.994471,608.586,609.967
1982-06-12,0.994396,604.585,607.088
1982-06-13,0.99432,601.46,603.966
1982-06-14,0.994195,595.409,599.653
1982-06-15,0.994112,592.01,594.768
1982-06-16,0.994256,601.515,596.287
1982-06-17,0.994806,631.232,611.79
1982-06-18,0.995788,680.544,645.964
1982-06-19,0.996948,733.641,692.825
1982-06-20,0.998018,777.594,739.908
1982-06-21,0.998925,813.081,781.117
1982-06-22,0.999608,838.091,813.98
1982-06-23,1.0,856.008,842.123
1982-06-24,1.0,880.665,880.513
1982-06-25,1.0,915.287,915.135
1982-06-26,1.0,953.13,952.978
1982-06-27,1.0,983.401,983.249
1982-06-28,1.0,1000.31,1000.16
1982-06-29,1.0,1007.97,1007.82
1982-06-30,1.0,1011.87,1011.71
1982-07-01,1.0,1019.94,1019.79
1982-07-02,1.0,1035.15,1035.0
1982-07-03,1.0,1045.54,1045.38
1982-07-04,1.0,1041.86,1041.7
1982-07-05,1.0,1029.05,1028.9
1982-07-06,1.0,1012.23,1012.07
1982-07-07,1.0,995.257,995.102
1982-07-08,1.0,981.468,981.314
1982-07-09,1.0,970.325,970.17
1982-07-10,1.0,960.225,960.071
1982-07-11,1.0,950.685,950.531
1982-07-12,1.0,945.212,945.057
1982-07-13,1.0,943.533,943.379
1982-07-14,1.0,939.486,939.331
1982-07-15,1.0,927.999,927.845
1982-07-16,1.0,911.609,911.454
1982-07-17,1.0,893.481,893.326
1982-07-18,1.0,874.443,874.288
1982-07-19,1.0,856.643,856.489
1982-07-20,0.999947,840.586,842.293
1982-07-21,0.999697,825.055,833.666
1982-07-22,0.999359,809.027,820.74
1982-07-23,0.998984,792.491,805.475
1982-07-24,0.998612,776.741,789.641
1982-07-25,0.998251,761.797,774.293
1982-07-26,0.997921,748.302,759.705
1982-07-27,0.997676,739.247,747.705
1982-07-28,0.997594,738.438,741.161
1982-07-29,0.997604,741.092,740.57
1982-07-30,0.997575,739.469,740.329
1982-07-31,0.99748,734.237,737.408
1982-08-01,0.997357,728.435,732.597
1982-08-02,0.997218,722.34,727.077
1982-08-03,0.997016,712.983,719.852
1982-08-04,0.996732,699.484,709.298
1982-08-05,0.996401,684.563,696.009
1982-08-06,0.996062,670.093,681.816
1982-08-07,0.995737,656.599,667.837
1982-08-08,0.99543,643.989,654.619
1982-08-09,0.995125,631.247,641.787
1982-08-10,0.994799,617.272,628.536
1982-08-11,0.994467,603.035,614.522
1982-08-12,0.994163,590.638,601.142
1982-08-13,0.993898,580.226,589.299
1982-08-14,0.993679,571.782,579.292
1982-08-15,0.993466,563.163,570.452
1982-08-16,0.99324,553.32,561.087
1982-08-17,0.993011,543.681,551.513
1982-08-18,0.992784,534.093,541.899
1982-08-19,0.99256,524.708,532.422
1982-08-20,0.992337,515.346,523.015
1982-08-21,0.992125,506.583,513.844
1982-08-22,0.991936,499.032,505.489
1982-08-23,0.991761,491.974,497.933
1982-08-24,0.991582,484.411,490.49
1982-08-25,0.991389,476.075,482.635
1982-08-26,0.991182,467.066,474.174
1982-08-27,0.990954,457.218,464.94
1982-08-28,0.990714,446.868,454.98
1982-08-29,0.990468,438.98,447.443
1982-08-30,0.990033,431.908,447.0
1982-08-31,0.989338,422.761,447.0
1982-09-01,0.988413,414.727,447.0
1982-09-02,0.987308,408.427,447.0
1982-09-03,0.986075,403.888,447.0
1982-09-04,0.98474,400.346,447.0
1982-09-05,0.983275,395.817,447.0
1982-09-06,0.981635,389.669,447.0
1982-09-07,0.979795,382.605,447.0
1982-09-08,0.977732,374.294,446.495
1982-09-09,0.975644,365.214,438.257
1982-09-10,0.973606,356.169,427.403
1982-09-11,0.971616,347.606,417.128
1982-09-12,0.969672,340.163,408.195
1982-09-13,0.968395,333.764,378.391
1982-09-14,0.968391,328.946,328.946
1982-09-15,0.968387,326.199,326.199
1982-09-16,0.968383,327.927,327.927
1982-09-17,0.968378,332.83,332.83
1982-09-18,0.968374,336.019,336.019
1982-09-19,0.96837,338.848,338.848
1982-09-20,0.968365,341.341,341.341
1982-09-21,0.968361,342.413,342.413
1982-09-22,0.968357,343.21,343.21
1982-09-23,0.968353,344.175,344.175
1982-09-24,0.968348,344.394,344.394
1982-09-25,0.968344,343.807,343.807
1982-09-26,0.96834,343.129,343.129
1982-09-27,0.968336,346.571,346.571
1982-09-28,0.967997,350.438,362.144
1982-09-29,0.967993,352.016,352.016
1982-09-30,0.967989,359.627,359.627
1982-10-01,0.966714,374.954,419.5
1982-10-02,0.965514,400.066,442.015
1982-10-03,0.965137,427.101,440.205
1982-10-04,0.965314,446.488,440.127
1982-10-05,0.965733,455.833,441.012
1982-10-06,0.966087,454.621,442.053
1982-10-07,0.966175,445.81,442.588
1982-10-08,0.96599,436.039,442.386
1982-10-09,0.965623,428.888,441.622
