date,storage,inflow,outflow
1982-01-02,322668423.113,1.938,73.438
1982-01-03,316856974.802,1.926,69.189
1982-01-04,311362048.693,1.717,65.315
1982-01-05,306154214.256,1.497,61.773
1982-01-06,301201985.328,1.203,58.521
1982-01-07,296499857.805,1.113,55.536
1982-01-08,292041416.955,1.196,52.799
1982-01-09,287807208.655,1.275,50.282
1982-01-10,283768645.516,1.215,47.957
1982-01-11,279929772.590,1.384,45.815
1982-01-12,276262339.880,1.383,43.830
1982-01-13,272767708.932,1.547,41.994
1982-01-14,269455247.245,1.965,40.304
1982-01-15,266291845.476,2.121,38.735
1982-01-16,263246786.278,2.022,37.266
1982-01-17,260305165.866,1.839,35.886
1982-01-18,257471295.932,1.792,34.591
1982-01-19,254731548.831,1.664,33.374
1982-01-20,252076619.816,1.496,32.225
1982-01-21,249525334.612,1.620,31.149
1982-01-22,247069523.151,1.717,30.140
1982-01-23,244677134.267,1.493,29.183
1982-01-24,242332434.303,1.130,28.268
1982-01-25,240043291.883,0.903,27.397
1982-01-26,237827581.685,0.932,26.576
1982-01-27,235674350.070,0.877,25.798
1982-01-28,233589747.504,0.937,25.064
1982-01-29,231596292.763,1.307,24.379
1982-01-30,229663718.582,1.363,23.731
1982-01-31,227774982.093,1.253,23.113
1982-02-01,225912134.830,0.957,22.518
1982-02-02,224089120.511,0.850,21.950
1982-02-03,222342287.478,1.201,21.419
1982-02-04,220644788.016,1.268,20.915
1982-02-05,218993326.093,1.322,20.436
1982-02-06,217429018.669,1.888,19.993
1982-02-07,215943266.221,2.386,19.582
1982-02-08,214497645.795,2.459,19.191
1982-02-09,213064394.054,2.223,18.811
1982-02-10,211627764.320,1.812,18.440
1982-02-11,210202162.950,1.579,18.079
1982-02-12,208804603.502,1.559,17.734
1982-02-13,207418148.291,1.353,17.400
1982-02-14,206043022.122,1.160,17.076
1982-02-15,204698456.626,1.205,16.767
1982-02-16,203389231.152,1.320,16.473
1982-02-17,202090268.585,1.154,16.188
1982-02-18,200782478.102,0.772,15.909
1982-02-19,199481077.470,0.575,15.638
1982-02-20,198272286.566,1.401,15.392
1982-02-21,197511724.317,6.437,15.240
1982-02-22,197257980.947,12.253,15.190
1982-02-23,197300684.511,15.693,15.199
1982-02-24,198611845.868,30.636,15.460
1982-02-25,200424846.622,36.817,15.833
1982-02-26,202079347.389,35.335,16.186
1982-02-27,203685173.389,35.125,16.539
1982-02-28,205599974.691,39.135,16.973
1982-03-01,208339608.201,49.330,17.621
1982-03-02,211711953.482,57.493,18.461
1982-03-03,215119489.717,58.797,19.358
1982-03-04,218004948.807,53.552,20.155
1982-03-05,220217331.542,46.396,20.790
1982-03-06,221867815.633,40.380,21.277
1982-03-07,223037918.536,35.172,21.629
1982-03-08,223770227.190,30.328,21.852
1982-03-09,224167505.807,26.572,21.974
1982-03-10,224410585.291,24.863,22.049
1982-03-11,224578146.639,24.040,22.101
1982-03-12,224604936.371,22.419,22.109
1982-03-13,224410118.560,19.794,22.049
1982-03-14,223964307.259,16.752,21.912
1982-03-15,223335101.435,14.437,21.719
1982-03-16,222524685.754,12.094,21.474
1982-03-17,221554535.819,9.955,21.183
1982-03-18,220467560.138,8.282,20.863
1982-03-19,219245911.785,6.369,20.509
1982-03-20,217918279.598,4.765,20.131
1982-03-21,216545147.627,3.855,19.748
1982-03-22,215193040.986,3.729,19.378
1982-03-23,213894798.328,4.004,19.030
1982-03-24,212672322.318,4.560,18.709
1982-03-25,211484867.174,4.659,18.403
1982-03-26,210268970.568,4.023,18.096
1982-03-27,209041711.678,3.588,17.792
1982-03-28,207871424.692,3.963,17.508
1982-03-29,206760509.180,4.386,17.244
1982-03-30,205658022.247,4.226,16.987
1982-03-31,204567284.366,4.113,16.737
1982-04-01,203485715.499,3.976,16.494
1982-04-02,202404035.156,3.737,16.256
1982-04-03,201283234.376,3.043,16.015
1982-04-04,200112936.154,2.223,15.768
1982-04-05,198942300.362,1.978,15.527
1982-04-06,197789244.660,1.950,15.295
1982-04-07,196611385.681,1.431,15.064
1982-04-08,195438012.210,1.258,14.839
1982-04-09,194316888.450,1.654,14.630
1982-04-10,193209343.306,1.609,14.428
1982-04-11,192173881.720,2.259,14.243
1982-04-12,191189635.867,2.680,14.072
1982-04-13,190152617.926,1.893,13.896
1982-04-14,189063545.790,1.111,13.716
1982-04-15,187946478.556,0.607,13.536
1982-04-16,186832076.628,0.463,13.361
1982-04-17,185738727.150,0.540,13.195
1982-04-18,184679848.105,0.783,13.038
1982-04-19,183664592.018,1.142,12.893
1982-04-20,182643044.913,0.927,12.750
1982-04-21,181640249.527,1.008,12.614
1982-04-22,180779441.133,2.538,12.501
1982-04-23,180032093.820,3.755,12.405
1982-04-24,179337462.390,4.278,12.318
1982-04-25,178644786.732,4.216,12.233
1982-04-26,177894103.646,3.454,12.143
1982-04-27,177040390.094,2.162,12.043
1982-04-28,176131045.539,1.415,11.940
1982-04-29,175192387.228,0.973,11.838
1982-04-30,174229490.651,0.591,11.736
1982-05-01,173262046.503,0.440,11.637
1982-05-02,172326033.543,0.712,11.546
1982-05-03,171428438.060,1.072,11.461
1982-05-04,170516552.900,0.824,11.378
1982-05-05,169584354.159,0.508,11.297
1982-05-06,168661688.285,0.541,11.220
1982-05-07,167868621.526,1.977,11.156
1982-05-08,167231626.147,3.735,11.107
1982-05-09,166552208.897,3.193,11.057
1982-05-10,165958128.458,4.138,11.014
1982-05-11,165528929.764,6.016,10.984
1982-05-12,165290882.459,8.212,10.967
1982-05-13,165697319.665,15.700,10.995
1982-05-14,166719574.276,22.901,11.069
1982-05-15,167735776.854,22.908,11.146
1982-05-16,168778760.577,23.301,11.230
1982-05-17,171471204.069,42.627,11.465
1982-05-18,178144169.179,89.406,12.173
1982-05-19,189902348.753,149.944,13.854
1982-05-20,203891735.867,178.499,16.585
1982-05-21,220550074.677,213.692,20.887
1982-05-22,238303968.523,232.236,26.751
1982-05-23,256235169.043,241.575,34.038
1982-05-24,273112130.391,237.508,42.173
1982-05-25,287987132.614,222.552,50.388
1982-05-26,300648286.585,204.705,58.164
1982-05-27,311968752.892,196.760,65.736
1982-05-28,323077000.959,202.310,73.742
1982-05-29,333686858.415,204.728,81.929
1982-05-30,342789513.257,194.732,89.377
1982-05-31,349871585.285,177.415,95.447
1982-06-01,355167444.765,161.438,100.143
1982-06-02,359407209.420,153.073,104.002
1982-06-03,362886656.842,147.505,107.234
1982-06-04,365245511.184,136.760,109.458
1982-06-05,365997577.534,118.878,110.174
1982-06-06,365075509.096,98.625,109.297
1982-06-07,362790464.895,80.696,107.143
1982-06-08,359513414.422,66.171,104.099
1982-06-09,355544379.142,54.545,100.483
1982-06-10,351058338.329,44.566,96.487
1982-06-11,346203264.015,36.080,92.273
1982-06-12,341121780.844,29.169,87.983
1982-06-13,335928727.879,23.622,83.727
1982-06-14,330708510.046,19.158,79.577
1982-06-15,325525517.926,15.596,75.585
1982-06-16,320408865.337,12.546,71.767
1982-06-17,315398825.400,10.161,68.147
1982-06-18,310535913.190,8.461,64.745
1982-06-19,305820964.738,6.980,61.551
1982-06-20,301271511.983,5.910,58.565
1982-06-21,296944769.352,5.736,55.814
1982-06-22,292813018.002,5.445,53.266
1982-06-23,288807417.542,4.508,50.869
1982-06-24,284960064.651,4.106,48.636
1982-06-25,281275070.430,3.908,46.559
1982-06-26,277733732.741,3.632,44.619
1982-06-27,274331792.824,3.435,42.809
1982-06-28,271053288.567,3.168,41.113
1982-06-29,267890456.062,2.915,39.522
1982-06-30,264838854.113,2.709,38.029
1982-07-01,261915747.865,2.804,36.637
1982-07-02,259112211.269,2.888,35.337
1982-07-03,256380605.560,2.487,34.103
1982-07-04,253727382.835,2.227,32.935
1982-07-05,251160744.510,2.129,31.835
1982-07-06,248677648.776,2.058,30.798
1982-07-07,246265115.794,1.893,29.816
1982-07-08,243924465.537,1.796,28.886
1982-07-09,241641987.601,1.585,28.003
1982-07-10,239418288.525,1.426,27.164
1982-07-11,237251189.167,1.284,26.366
1982-07-12,235139325.906,1.165,25.608
1982-07-13,233094884.262,1.230,24.892
1982-07-14,231118962.357,1.348,24.218
1982-07-15,229201635.697,1.387,23.578
1982-07-16,227326481.203,1.265,22.968
1982-07-17,225486420.845,1.087,22.384
1982-07-18,223680931.130,0.928,21.825
1982-07-19,221908403.162,0.774,21.289
1982-07-20,220167563.860,0.627,20.775
1982-07-21,218463256.973,0.559,20.285
1982-07-22,216796755.295,0.529,19.817
1982-07-23,215170579.750,0.550,19.372
1982-07-24,213584732.990,0.593,18.948
1982-07-25,212023418.275,0.470,18.541
1982-07-26,210494321.178,0.455,18.152
1982-07-27,208994702.982,0.424,17.781
1982-07-28,207522990.333,0.391,17.425
1982-07-29,206078061.304,0.360,17.084
1982-07-30,204659368.284,0.338,16.758
1982-07-31,203265813.039,0.316,16.446
1982-08-01,201896166.848,0.294,16.146
1982-08-02,200549529.354,0.274,15.860
1982-08-03,199225093.833,0.256,15.585
1982-08-04,197921974.306,0.239,15.322
1982-08-05,196639386.180,0.225,15.069
1982-08-06,195376391.909,0.209,14.827
1982-08-07,194132244.175,0.196,14.596
1982-08-08,192907039.215,0.193,14.373
1982-08-09,191700876.351,0.200,14.160
1982-08-10,190543763.893,0.569,13.962
1982-08-11,189456220.342,1.193,13.780
1982-08-12,188359394.773,0.907,13.602
1982-08-13,187249124.504,0.575,13.426
1982-08-14,186139185.897,0.409,13.255
1982-08-15,185039594.948,0.364,13.091
1982-08-16,183948864.568,0.309,12.933
1982-08-17,182867773.634,0.268,12.781
1982-08-18,181796904.465,0.241,12.635
1982-08-19,180736551.404,0.223,12.495
1982-08-20,179686949.843,0.213,12.361
1982-08-21,178647811.039,0.206,12.233
1982-08-22,177618857.301,0.201,12.110
1982-08-23,176599916.075,0.200,11.993
1982-08-24,175590527.177,0.198,11.881
1982-08-25,174589201.691,0.184,11.773
1982-08-26,173594987.343,0.164,11.671
1982-08-27,172608165.152,0.151,11.573
1982-08-28,171628942.927,0.146,11.480
1982-08-29,170656800.062,0.139,11.391
1982-08-30,169691388.800,0.132,11.306
1982-08-31,168732739.435,0.130,11.226
1982-09-01,167780482.107,0.128,11.150
1982-09-02,166834248.102,0.126,11.077
1982-09-03,165893688.989,0.123,11.009
1982-09-04,164958604.775,0.122,10.945
1982-09-05,164045898.685,0.322,10.885
1982-09-06,163175045.035,0.752,10.832
1982-09-07,162302029.616,0.677,10.781
1982-09-08,161417893.307,0.500,10.733
1982-09-09,160527167.178,0.378,10.687
1982-09-10,159632889.559,0.294,10.644
1982-09-11,158736001.029,0.224,10.605
1982-09-12,157839909.548,0.197,10.568
1982-09-13,156944733.573,0.174,10.535
1982-09-14,156050739.392,0.158,10.505
1982-09-15,155158424.076,0.150,10.478
1982-09-16,154268401.430,0.153,10.454
1982-09-17,153380529.496,0.157,10.434
1982-09-18,152494551.643,0.162,10.416
1982-09-19,151609957.470,0.163,10.402
1982-09-20,150726425.842,0.164,10.390
1982-09-21,149848075.887,0.216,10.382
1982-09-22,148978887.243,0.317,10.377
1982-09-23,148104491.681,0.254,10.374
1982-09-24,147231779.436,0.229,10.330
1982-09-25,146366241.608,0.252,10.269
1982-09-26,145508877.456,0.286,10.209
1982-09-27,144659869.777,0.323,10.150
1982-09-28,143814220.706,0.303,10.090
1982-09-29,142968339.140,0.241,10.031
1982-09-30,142125370.955,0.215,9.972
1982-10-01,141287514.457,0.216,9.913
1982-10-02,140459764.850,0.275,9.855
1982-10-03,139642095.157,0.334,9.798
1982-10-04,138832642.035,0.372,9.741
1982-10-05,138029132.297,0.385,9.684
1982-10-06,137233699.963,0.422,9.629
1982-10-07,136461495.123,0.637,9.574
1982-10-08,135774946.201,1.580,9.526
1982-10-09,135248571.794,3.397,9.489
1982-10-10,134778023.435,4.010,9.456
1982-10-11,134326512.374,4.199,9.425
1982-10-12,134025389.800,5.918,9.404
1982-10-13,133840953.922,7.256,9.391
1982-10-14,133587800.827,6.443,9.373
1982-10-15,133247387.552,5.409,9.349
1982-10-16,132945621.226,5.835,9.328
1982-10-17,132779753.261,7.396,9.316
1982-10-18,132719630.117,8.616,9.312
1982-10-19,132644589.583,8.438,9.307
1982-10-20,132485741.495,7.457,9.296
1982-10-21,132245690.588,6.500,9.279
1982-10-22,131934941.405,5.660,9.257
1982-10-23,131545845.557,4.726,9.230
1982-10-24,131092153.795,3.947,9.198
1982-10-25,130591573.782,3.369,9.163
1982-10-26,130063575.217,3.014,9.126
1982-10-27,129522576.715,2.826,9.088
1982-10-28,128964655.485,2.591,9.048
1982-10-29,128373613.587,2.166,9.007
1982-10-30,127774066.102,2.026,8.965
1982-10-31,127218060.818,2.491,8.926
1982-11-01,126671279.898,2.559,8.888
1982-11-02,126113477.515,2.392,8.848
1982-11-03,125536025.647,2.124,8.808
1982-11-04,125741259.310,11.198,8.822
1982-11-05,126649836.668,19.402,8.886
1982-11-06,127017309.593,13.165,8.912
1982-11-07,127021162.044,8.957,8.912
1982-11-08,126794970.190,6.278,8.896
1982-11-09,126436246.689,4.719,8.871
1982-11-10,126006348.827,3.865,8.841
1982-11-11,125525750.575,3.245,8.807
1982-11-12,125006953.162,2.766,8.771
1982-11-13,124477191.534,2.602,8.734
1982-11-14,123938044.950,2.456,8.696
1982-11-15,123381467.237,2.215,8.657
1982-11-16,122813637.679,2.045,8.617
1982-11-17,122237772.410,1.911,8.576
1982-11-18,121687715.969,2.172,8.538
1982-11-19,121150418.913,2.281,8.500
1982-11-20,120647454.555,2.644,8.465
1982-11-21,120195600.391,3.203,8.433
1982-11-22,119749639.545,3.240,8.402
1982-11-23,119269254.775,2.808,8.368
