like1,like2,parFFf,paralpha,parbeta,parQQf,pargamma,park,chain
0.8128871,0.8321098,0.49905297,0.6443128,0.06589058,0.7079533,0.34802094,3.5803552,1.0
0.523202,1.2134104,0.62226766,0.3068757,0.18268485,0.15832937,0.070650764,2.246958,1.0
0.4685787,0.99871844,0.64921457,0.1965701,0.68202084,0.26912728,0.6265031,2.162066,1.0
0.70732605,1.1804352,0.54014575,0.92280644,0.6470638,0.27526,0.25914457,4.169872,1.0
0.5515247,0.9824912,0.8681271,0.6755045,0.9444121,0.61148274,0.8045369,3.5913923,1.0
0.672906,1.9203886,0.6924625,0.39669234,0.4016177,0.68496454,0.65460765,1.5067207,1.0
1.2189509,1.0593921,0.36006677,0.6042548,0.2667836,0.2713968,0.26919207,4.110745,1.0
0.7669313,3.5364552,0.62372994,0.15504716,0.75132453,0.6247987,0.917685,3.2427008,1.0
0.79414207,2.8250098,0.5503065,0.2993154,0.7765245,0.7057472,0.6477121,4.5787506,1.0
0.8987413,0.6933587,0.46609667,0.47657385,0.14476615,0.5192664,0.6122682,4.27734,1.0
0.364375,0.62986636,0.88271207,0.5577203,0.4047606,0.4897602,0.5047803,3.1452024,1.0
0.34901568,0.69617814,0.95559853,0.6683812,0.83053,0.5029292,0.6850133,3.3881514,1.0
0.7908738,1.1049924,0.5081018,0.9985132,0.26986644,0.53531224,0.30509987,3.303571,1.0
0.33536896,1.1320416,0.84499466,0.61360794,0.8172389,0.19695297,0.72965455,4.401981,1.0
0.36212838,0.52709144,0.7861002,0.90176207,0.35403085,0.5464552,0.638598,1.998556,1.0
1.6733116,1.3455484,0.218998,0.6867868,0.49569905,0.19828396,0.24173225,2.3154318,1.0
1.1923662,0.7059804,0.36418673,0.4933252,0.5397915,0.50246936,0.3988144,4.454643,1.0
0.38910544,0.6267417,0.704009,0.26172683,0.30618808,0.42596853,0.6504142,2.6590726,1.0
0.8018872,3.7290883,0.83192307,0.67069274,0.70776707,0.9267442,0.90030736,2.6366413,1.0
0.9030696,1.3422785,0.4688646,0.21572864,0.1775114,0.7011354,0.31319496,2.7758162,1.0
1.0133312,1.39346,0.429241,0.99836546,0.24576844,0.100402586,0.79542774,3.2980237,1.0
0.5921029,1.1482878,0.63240355,0.9201826,0.39100632,0.62940717,0.79595107,4.2321744,1.0
1.3122854,0.9260824,0.32940698,0.7672312,0.73216087,0.3072631,0.8471728,1.7332368,1.0
1.045023,1.342474,0.41856456,0.998482,0.8986371,0.15293261,0.11118297,2.0335805,1.0
1.3920673,1.4032327,0.30584708,0.90014505,0.8959516,0.13426122,0.8093599,3.2438905,1.0
0.3797732,0.54694533,0.8943669,0.4715537,0.9764828,0.46397176,0.930838,1.0659488,1.0
1.6459756,1.3458046,0.22240427,0.008240332,0.92579937,0.48731226,0.9254414,3.317526,1.0
1.0327836,3.2465131,0.42764184,0.09561457,0.66350096,0.67011154,0.8284646,2.7139344,1.0
0.96562225,1.7564687,0.44223818,0.5681631,0.45877707,0.9628055,0.18977728,1.2468721,1.0
1.6171994,1.1666838,0.23505129,0.7490747,0.7015905,0.6441225,0.054523196,2.3383968,1.0
0.83611226,1.0459054,0.490431,0.31949082,0.5466655,0.30170462,0.58059466,1.4254993,1.0
0.68608195,1.5310206,0.821606,0.22487791,0.23632081,0.8773875,0.25140223,1.3224216,1.0
0.3885076,0.5908002,0.94454193,0.277691,0.82935923,0.647202,0.3285464,4.850928,1.0
0.86341614,0.91200316,0.47932032,0.6191088,0.34305426,0.2790438,0.89968705,4.0314507,1.0
1.2485167,0.82530594,0.34601548,0.9459607,0.012841761,0.4761832,0.77526754,2.7233658,1.0
0.83612996,2.4029174,0.9439244,0.5558588,0.7037373,0.67048585,0.8184138,1.766928,1.0
1.4139806,2.2981296,0.29026383,0.45249584,0.24419066,0.6475849,0.97994703,1.2796791,1.0
0.33612007,1.1625642,0.79545766,0.008527803,0.13544843,0.16223313,0.5290492,3.7042491,1.0
0.9867488,3.1485884,0.8712864,0.8608589,0.031347413,0.84125817,0.7212346,2.2780104,1.0
0.64795816,0.7379151,0.5580928,0.48416463,0.6894527,0.42477593,0.5989805,2.2848563,1.0
0.3353083,1.1375045,0.79895127,0.4673557,0.9392657,0.18952635,0.867294,3.1135743,1.0
0.37857008,0.6574288,0.98190254,0.67181677,0.41212144,0.5164838,0.45848265,4.675331,1.0
0.53766954,0.4529383,0.6216929,0.68860716,0.39151156,0.5624024,0.5545888,4.1542106,1.0
0.64446497,1.5165224,0.6447254,0.97448206,0.5590764,0.8148979,0.5228377,1.9927282,1.0
1.0103171,3.2548141,0.95734245,0.5152045,0.15247005,0.7994312,0.594927,2.8840418,1.0
1.0612913,0.78060603,0.40867865,0.6259861,0.30523545,0.45019946,0.14319879,4.145429,1.0
1.3027924,2.0762825,0.3306867,0.2925912,0.824012,0.91689885,0.9346473,4.4371986,1.0
1.4105405,1.0080872,0.29484603,0.595982,0.22123668,0.46374372,0.75318956,4.4647098,1.0
1.72247,1.1007937,0.20072143,0.32368726,0.7201801,0.46878773,0.12332512,1.056292,1.0
0.6499451,1.105146,0.5635165,0.65190536,0.8818796,0.23447444,0.7691975,2.6303754,1.0
0.32797626,0.81053746,0.90555435,0.53586566,0.49474037,0.39525416,0.5346782,3.4277253,1.0
0.5405306,1.0063255,0.6117537,0.8447346,0.61011183,0.26469502,0.88326883,1.0569743,1.0
0.33494028,0.94200814,0.7755794,0.55549103,0.046113115,0.3489707,0.26679736,1.8372413,1.0
0.9594779,0.7742587,0.44301438,0.101933464,0.7498662,0.41561005,0.51078445,2.4325054,1.0
0.3383885,1.2231369,0.9258797,0.4845844,0.5970577,0.20382571,0.3312374,2.2886457,1.0
0.44102737,1.1955059,0.6700173,0.71176213,0.61723065,0.42559552,0.21320224,1.0003653,1.0
0.32741454,0.9333294,0.86233467,0.6856234,0.97304404,0.41756496,0.6122242,3.4217734,1.0
0.33924976,1.391451,0.91006374,0.77453226,0.0556898,0.10029885,0.7663746,2.7609093,1.0
