like1,like2,parFFf,paralpha,parbeta,parQQf,pargamma,park,chain
0.51136655,1.6844089,0.81540936,0.0089364685,0.16830352,0.50421655,0.10791818,3.1428044,1.0
0.51434916,1.2946489,0.25694042,0.17119594,0.90562767,0.32114476,0.57170117,4.931664,1.0
0.5036972,1.0864087,0.44084316,0.17760031,0.9226451,0.50443846,0.43516573,2.361668,1.0
0.75154626,0.5981652,0.77912635,0.5923248,0.0086355,0.73856556,0.69043326,4.912967,1.0
0.52181613,1.596873,0.711899,0.085840866,0.5022681,0.17574485,0.94010955,2.1908586,1.0
0.49614823,1.1751801,0.56599855,0.45969388,0.14332283,0.75838405,0.037433196,1.3531431,1.0
0.5124655,1.7404885,0.8508604,0.5997182,0.14409852,0.45799416,0.21919702,4.7137766,1.0
0.49968633,1.1237808,0.53276634,0.63576305,0.3441379,0.4776348,0.89186066,1.6530455,1.0
0.46908024,0.6928696,0.52978355,0.6284854,0.20702592,0.70160115,0.30997884,4.790827,1.0
0.52305937,1.6966094,0.79747146,0.6237042,0.9081475,0.14756986,0.6485766,1.1284136,1.0
0.52540463,1.9159476,0.95210534,0.9022724,0.49643308,0.46739858,0.28127727,2.0549648,1.0
0.53451353,1.500212,0.9865718,0.44884482,0.20896633,0.6521783,0.6639257,4.024242,1.0
0.48387772,1.6135021,0.89212376,0.6037082,0.6205812,0.63257575,0.35109165,3.6474502,1.0
0.5209858,1.5345402,0.64232826,0.07230447,0.23656043,0.11833326,0.3526167,4.321703,1.0
0.6571664,0.5701848,0.73951566,0.6917732,0.85551304,0.7802441,0.5348673,3.9841666,1.0
0.50882447,1.3586259,0.52381235,0.07029343,0.3762051,0.4172296,0.7082018,1.8043652,1.0
0.5157486,1.3157973,0.3652464,0.40507495,0.5082489,0.14869732,0.8728775,4.0094585,1.0
0.5226121,1.6667306,0.7746525,0.23479742,0.6603231,0.29142594,0.45451126,1.8212688,1.0
0.62476313,0.88278806,0.78065705,0.07424204,0.44501197,0.89471227,0.8732943,2.476976,1.0
0.5233068,1.6513354,0.7606053,0.033047054,0.17669682,0.11452222,0.3763466,1.3386481,1.0
0.47745958,0.5347562,0.30695376,0.61116433,0.7330167,0.77778375,0.73885804,2.6499321,1.0
0.5134164,1.2309967,0.3676152,0.70714945,0.7459441,0.36965337,0.7484231,1.389521,1.0
0.5259322,1.8548172,0.91141284,0.86515605,0.5690455,0.33216736,0.60371023,2.6938016,1.0
0.49630287,0.68877304,0.9841033,0.14600912,0.7837057,0.94377244,0.8278511,3.6454494,1.0
0.46771917,1.1916077,0.7500604,0.89670837,0.39679733,0.602546,0.71095234,4.8093996,1.0
0.5243003,1.82469,0.8887336,0.48508912,0.16542478,0.5303564,0.040942386,1.1701422,1.0
0.47202146,0.23974682,0.48157907,0.92521906,0.26061937,0.9719786,0.19350734,1.8037328,1.0
0.51498497,1.2683325,0.43084267,0.6648319,0.96025914,0.294302,0.3842054,3.5916336,1.0
0.523084,1.7467018,0.83719933,0.9887122,0.2195723,0.14136243,0.8287047,2.5976107,1.0
0.50826156,1.3812362,0.59654874,0.63490546,0.36538285,0.5561925,0.21978639,1.7385755,1.0
0.51555985,1.3317586,0.24937607,0.41209826,0.552605,0.23171265,0.95385695,4.7174306,1.0
0.4878576,1.6457547,0.9811332,0.3984437,0.030718995,0.7193867,0.15085681,3.6341043,1.0
0.5157272,1.326451,0.29515705,0.9785554,0.037885398,0.16867107,0.2866906,4.8210363,1.0
0.51353353,1.4628388,0.5248127,0.7212228,0.84032285,0.36298478,0.4755888,1.7325947,1.0
0.46217224,0.3954081,0.33947808,0.5643036,0.5516351,0.66865706,0.7599788,3.2298682,1.0
0.5101853,1.8248085,0.9123784,0.46129516,0.92891204,0.66752374,0.09130307,1.5671057,1.0
0.6953483,0.46910825,0.6600118,0.7277069,0.71154004,0.91990376,0.3744103,3.0948536,1.0
0.5231058,1.6571892,0.76689845,0.7171772,0.44533026,0.23168862,0.27368528,1.6951166,1.0
0.509676,1.4081286,0.5983565,0.6048146,0.70962757,0.42369947,0.9555239,3.085642,1.0
0.51567286,1.4649252,0.49849376,0.93368554,0.40074152,0.1979497,0.52353084,4.7693663,1.0
0.5039312,1.1296608,0.20021623,0.60845906,0.02711215,0.44608518,0.25781524,4.8718467,1.0
0.5135522,1.4910475,0.6417298,0.6865946,0.01778554,0.4236253,0.5917219,3.9582458,1.0
0.50507504,0.86304593,0.7131893,0.2915949,0.9624082,0.75867176,0.4119142,2.3754642,1.0
0.5157742,1.329824,0.4034276,0.0036218641,0.463732,0.122329846,0.83083713,3.9439712,1.0
0.5098737,1.3108118,0.50627077,0.72589195,0.388641,0.49461,0.040278364,2.21552,1.0
0.51577336,1.3359027,0.33581978,0.08967627,0.4057273,0.12327356,0.9027115,2.0474472,1.0
0.5149158,1.2607464,0.39596748,0.77330506,0.07012461,0.31581765,0.79280365,1.3722504,1.0
0.49933574,1.0987536,0.2037528,0.69621396,0.5824351,0.55300325,0.8719713,1.0368464,1.0
0.5216456,1.5976328,0.7123396,0.23004536,0.7963311,0.1821402,0.3917137,2.5847254,1.0
0.6734788,0.5538624,0.73188657,0.6517969,0.14988993,0.66664904,0.99204224,3.7053514,1.0
0.4823188,0.9739776,0.219264,0.282162,0.709878,0.6728351,0.44375178,4.668229,1.0
0.44611144,0.744003,0.2544007,0.6819172,0.94038284,0.89924324,0.20380603,1.9008304,1.0
0.4856988,1.673871,0.95228845,0.27754334,0.6065551,0.71129155,0.15359226,2.994064,1.0
0.51970536,1.6633778,0.77863616,0.72351265,0.8559964,0.38117015,0.004380373,3.9462276,1.0
