like1,like2,parFFn,parFFf,paralpha,parQQn,parQQf,park,chain
0.4621684,0.510947,0.27127197,0.7162355,0.3480495,0.44584325,0.59560114,3.8989544,1.0
0.46072432,0.79035676,0.64999187,0.7327103,0.241387,0.37921527,0.9189278,1.580057,1.0
0.480814,0.9281742,0.6575934,0.8973567,0.9760521,0.38576806,0.5955723,4.657213,1.0
0.47727734,0.82976615,0.2299887,0.88534176,0.57706887,0.02495042,0.5494426,1.9740956,1.0
0.47161275,0.7777455,0.51300013,0.67787766,0.271022,0.21012291,0.5700177,3.5809112,1.0
0.46769112,0.5866105,0.3425248,0.9225306,0.38351825,0.34957278,0.61541504,4.6532063,1.0
0.4616014,0.7119859,0.47056976,0.8110942,0.61444426,0.15252051,0.71019995,4.9041367,1.0
0.45955777,0.7230115,0.6180705,0.7392358,0.0022168397,0.32104024,0.6021569,4.5630693,1.0
0.48309013,0.87022287,0.55344754,0.6855279,0.017893333,0.22834034,0.51421756,1.4727861,1.0
0.4722709,1.0022956,0.5859141,0.89821273,0.9233505,0.28610048,0.9153595,4.366736,1.0
0.48247114,0.91704774,0.61717117,0.9632662,0.7271915,0.31986985,0.5207794,3.4928334,1.0
0.6120089,0.35342148,0.20132457,0.84491825,0.38696402,0.038848024,0.7822713,2.5093172,1.0
0.47289538,0.99202305,0.60437655,0.8542954,0.929966,0.2733725,0.6539566,4.719532,1.0
0.48126796,0.88392055,0.4322984,0.8408338,0.7421665,0.14886267,0.5335433,4.1285396,1.0
0.4841215,0.9606742,0.6520812,0.7431581,0.71498644,0.20225586,0.5116796,2.8434715,1.0
0.50055367,0.51063585,0.4926027,0.77533114,0.1425093,0.39054406,0.947606,3.317258,1.0
0.47421712,0.6488094,0.4058071,0.77450883,0.086187586,0.014386302,0.97455585,1.1925098,1.0
0.4736155,0.75232303,0.5311043,0.76364464,0.89625674,0.47760192,0.6389504,1.1073455,1.0
0.5624151,0.53435177,0.53157806,0.9429242,0.16945896,0.05467277,0.95648825,1.5793016,1.0
0.47273698,0.9734089,0.61038536,0.7141964,0.6074832,0.16723125,0.98122615,4.5107527,1.0
0.47920337,0.73599404,0.29129773,0.9645759,0.8251324,0.33869264,0.7657901,4.5637045,1.0
0.45437622,0.7815278,0.36174566,0.8269119,0.7938926,0.09740349,0.7441574,3.2873316,1.0
0.5362082,0.39524192,0.4197526,0.7461917,0.1542449,0.4029117,0.69043386,3.4844835,1.0
0.5645229,0.44321182,0.521418,0.80484176,0.30255696,0.47431597,0.7799135,4.0801325,1.0
0.54252183,0.47178873,0.58828694,0.82081205,0.21661699,0.49763674,0.8418731,2.571507,1.0
0.51491606,0.59963375,0.26955155,0.75349486,0.6338703,0.218927,0.7410402,3.646911,1.0
0.50107884,0.67409575,0.2691037,0.72744226,0.45993432,0.07691133,0.78892034,1.3521106,1.0
0.4835382,0.8045962,0.64068025,0.92942196,0.25264674,0.4934656,0.501088,4.4534054,1.0
0.4686663,0.58165425,0.5158441,0.86285967,0.057555612,0.044906758,0.6547949,2.4270165,1.0
0.48182628,1.0432042,0.24768715,0.81797653,0.96790254,0.12832649,0.5559569,2.2475548,1.0
0.4757919,0.9002674,0.6159263,0.7986041,0.55544555,0.0052144327,0.5678198,3.0541995,1.0
0.4546533,0.88290226,0.22727367,0.6710093,0.74621844,0.011556074,0.97166485,4.1407175,1.0
0.52754366,0.61350095,0.23034504,0.88735986,0.63216925,0.07960394,0.928117,2.3490539,1.0
0.4674004,0.63791096,0.63329786,0.9694788,0.06757158,0.31823307,0.6242482,3.5404065,1.0
0.5602035,0.552561,0.53951484,0.91925347,0.20859776,0.13680728,0.71771705,1.9214483,1.0
0.48269004,0.6710076,0.6315854,0.8728892,0.3310901,0.23280671,0.70477194,3.8350346,1.0
