like1,parFFf,paralpha,parbeta,parQQf,pargamma,park,chain,like_val
1.7440671,0.58997744,0.41815683,0.82963026,0.37045375,0.6121252,4.1248302,0.0,1.5846196157490176
2.259846,0.8911576,0.63992363,0.55342937,0.6777981,0.15190552,2.2844877,0.0,1.8999747649685441
1.766989,0.96527356,0.22113052,0.3095426,0.8496059,0.19255678,4.597145,0.0,1.493300103851962
1.368792,0.30566174,0.78799886,0.34642026,0.44807044,0.9543799,2.926715,0.0,1.3928535113588316
1.544138,0.4383092,0.61955655,0.7468365,0.3237528,0.7280399,1.9556339,0.0,1.4987716071208836
1.0754639,0.7238052,0.9816178,0.1592584,0.9728613,0.87284124,2.7194104,0.0,1.0483890487795686
1.5704814,0.4215988,0.7518146,0.4243229,0.32271132,0.41130868,2.675725,0.0,1.5065278041687125
2.4646428,0.89616036,0.44265088,0.9082121,0.44492406,0.102843195,1.4374261,0.0,2.023192985101083
1.3452348,0.9357613,0.28862903,0.51119196,0.8816311,0.48491693,3.0935733,0.0,1.290218974623591
1.8563203,0.55783886,0.34971398,0.9889092,0.2671034,0.43553832,2.4630153,0.0,1.6015475185089971
1.4702919,0.37488553,0.7075814,0.6465384,0.5896021,0.41140327,2.8348927,0.0,1.455917319899982
1.4711541,0.47307438,0.5578217,0.5273587,0.49688777,0.583707,2.5291429,0.0,1.4307408713770189
1.636957,0.4226999,0.901454,0.9199043,0.48178726,0.33137277,3.4821537,0.0,1.5344470338517662
1.6211598,0.26104203,0.806225,0.61363184,0.29941463,0.09491605,1.5720764,0.0,1.5926342893263477
1.6992171,0.64180917,0.8534441,0.7203839,0.45445937,0.8752456,1.4437684,0.0,1.5655966887544774
1.0329452,0.4923641,0.24807854,0.44872922,0.9028445,0.67641556,3.6569002,0.0,1.0219421048380721
1.0014727,0.5263682,0.31126654,0.05899053,0.7412263,0.92963773,4.2640786,0.0,0.9562564845727178
1.4592043,0.3929151,0.69141054,0.32921332,0.67688733,0.15889195,3.751353,0.0,1.4224146325658293
1.8051991,0.93264425,0.4540309,0.72931296,0.6654778,0.7590942,1.7233223,0.0,1.7123523532713438
1.3447481,0.4453503,0.8506963,0.14776479,0.9526904,0.2574247,3.6987996,0.0,1.3212687615119734
1.5472667,0.31839922,0.85185665,0.124294825,0.35567597,0.3720138,4.357984,0.0,1.525370438279876
1.5596888,0.34012902,0.81898206,0.56775594,0.37159485,0.40983966,2.6665146,0.0,1.5254738112494897
1.9015431,0.61900526,0.84526867,0.86790264,0.605569,0.27499264,2.9021552,0.0,1.6410287323267936
1.5591501,0.48727533,0.63410324,0.07276442,0.33572465,0.5698572,3.0892544,0.0,1.5019360619938653
1.4254167,0.82983977,0.013008433,0.11913181,0.813339,0.16117892,2.310194,0.0,1.2626783260180923
1.5667707,0.35221073,0.32219008,0.5557858,0.2270015,0.3148391,1.834168,0.0,1.5274290814851759
1.3926567,0.26822892,0.15252253,0.13623159,0.90658855,0.6127454,2.6913688,0.0,1.3326116326628845
2.269984,0.7855805,0.6654142,0.469504,0.11235803,0.028318789,1.0289243,0.0,1.8741045411956685
2.0218449,0.7577059,0.55088717,0.9405192,0.35012764,0.93224746,4.8283653,0.0,1.759065309588126
1.610413,0.69680095,0.24802014,0.65362036,0.76420105,0.3987817,1.9269526,0.0,1.4399870467482263
2.2637646,0.8651547,0.58812386,0.44781095,0.6451979,0.007513798,1.3291075,0.0,1.918474832194132
2.0386653,0.680933,0.8563903,0.034784786,0.19528325,0.096936956,4.0236096,0.0,1.726548423636207
0.958675,0.57264215,0.041614342,0.6712645,0.7830513,0.9515352,3.4852002,0.0,0.971249693064547
2.3182914,0.8220582,0.76293707,0.8348723,0.18293713,0.5108357,1.6510824,0.0,1.9144790337251147
1.3830194,0.2746262,0.6173231,0.13442878,0.5234521,0.6901525,2.202994,0.0,1.414718204804005
1.5196781,0.48649347,0.9061419,0.9972125,0.5343959,0.62545466,4.135062,0.0,1.4828733362931665
2.0910697,0.830542,0.49522883,0.2095578,0.4876852,0.39889207,3.1545322,0.0,1.8077401297170235
2.6145504,0.95693374,0.8503692,0.47340396,0.13986166,0.8069458,1.3694785,0.0,2.1371017767689917
2.2131128,0.87170035,0.4995217,0.6233456,0.62795776,0.14080231,3.345623,0.0,1.8806122170137796
1.5302849,0.49267718,0.47496054,0.3767979,0.39281425,0.5583016,4.385818,0.0,1.4770262291132492
1.7173519,0.4980025,0.027817342,0.7686687,0.15297243,0.22967237,3.6900964,0.0,1.5606370757886419
1.577444,0.69037646,0.47615224,0.16604161,0.6400687,0.4307384,3.260046,0.0,1.4291008338950453
1.126501,0.48333982,0.7737914,0.8970233,0.91754436,0.6829233,3.587049,0.0,1.079602666232001
1.8939773,0.5822461,0.9581968,0.088498,0.16702095,0.104069784,1.5154128,0.0,1.6227629098092968
2.0508585,0.7760839,0.16980481,0.16779484,0.35012493,0.93954766,2.0054314,0.0,1.7811535201795419
1.3266895,0.28231883,0.486228,0.52769655,0.5543534,0.82255524,3.6422195,0.0,1.384173417631925
1.1045041,0.43169644,0.23816268,0.52822,0.9405418,0.57093626,4.3262634,0.0,1.078150475184111
1.3368623,0.33585754,0.093874924,0.35053033,0.86770064,0.12123174,1.0867453,0.0,1.3430370520408985
1.4668657,0.23676004,0.07958774,0.748671,0.7575075,0.6227038,2.5373898,0.0,1.4419441549529068
2.2561722,0.7896545,0.08732769,0.884654,0.22544192,0.057519667,2.2437441,0.0,1.8777298096387942
1.4087143,0.42796788,0.54307693,0.08119138,0.44219148,0.6619527,2.8100348,0.0,1.400472699689027
1.5805736,0.31098667,0.8379438,0.17012714,0.29006398,0.2084637,4.787442,0.0,1.546853765625865
1.5601331,0.6608144,0.6184452,0.36180216,0.9608221,0.14267215,4.4733443,1.0,1.3889281921044885
1.5536205,0.37411448,0.94372153,0.81513435,0.35515597,0.66086423,1.7866507,2.0,1.5204466665630665
1.5773708,0.5791959,0.57881635,0.17333776,0.6089093,0.030270955,1.9114372,3.0,1.4786969196822608
1.4651122,0.5348737,0.54297996,0.30780268,0.67124754,0.25602794,2.8753803,4.0,1.387858394632092
1.4392096,0.2932225,0.6373991,0.40631276,0.8818565,0.15833542,2.1153631,5.0,1.408514848244107
1.4435835,0.5750018,0.50804204,0.7467069,0.56429744,0.73460704,3.9099882,6.0,1.4393593658658415
1.4040831,0.39590535,0.7103427,0.60273665,0.5641437,0.5714613,2.6539588,7.0,1.4088466393044219
1.3528404,0.5359113,0.550616,0.3394952,0.8758893,0.2724837,3.9110882,8.0,1.2573320622342732
1.2239705,0.33938786,0.29065907,0.5827651,0.7790997,0.5629901,3.0346506,9.0,1.2519112719230219
0.99599004,0.61374193,0.2566313,0.5511027,0.7499489,0.9039417,4.9212904,10.0,0.9650130891664962
1.3417948,0.53196555,0.47530353,0.40261418,0.7411587,0.43559134,3.4587426,11.0,1.2839019362367694
1.1192337,0.8122918,0.50989264,0.50437874,0.96222144,0.9355169,4.0559444,12.0,1.1062769370639862
1.0693831,0.89268917,0.56060886,0.4534982,0.81817895,0.9391408,4.6272182,13.0,1.061938850601736
1.4480144,0.5653239,0.39713198,0.575674,0.6522104,0.51012385,2.4039643,1.0,1.3909108748934083
1.7748893,0.6195252,0.6490288,0.31577456,0.37850016,0.3232709,3.4735007,2.0,1.6036277188498664
1.4627534,0.49529183,0.561568,0.6043024,0.5139102,0.6707664,2.5606163,3.0,1.4235601078013798
1.6380577,0.5587774,0.39607173,0.7613686,0.46134534,0.5172031,2.7101285,4.0,1.5241788680926907
1.2669661,0.7336138,0.623472,0.3796353,0.6899589,0.9458309,3.6757724,5.0,1.1163255457761938
1.0521116,0.6222441,0.44435394,0.34655628,0.95971197,0.43222156,2.2426517,6.0,1.0383799887899616
1.0803049,0.48335138,0.46983492,0.0019702704,0.87842107,0.6448642,1.9330595,7.0,1.0392872133060254
1.060764,0.7744332,0.31950334,0.16754013,0.94153464,0.7811451,2.5741022,8.0,1.0570619501780891
1.1949506,0.6365444,0.9397415,0.8805902,0.7944735,0.9540376,3.43393,9.0,1.1091716347365665
1.0884511,0.541734,0.08539583,0.23485522,0.9721761,0.4865515,1.3024797,10.0,1.0940588073674482
1.4001898,0.5606849,0.4440093,0.6301584,0.65045124,0.5915595,2.7912436,11.0,1.378888736884776
1.100572,0.78259355,0.40332887,0.4085362,0.8579261,0.6331032,3.0570862,12.0,1.0855196820252824
1.0744485,0.6777006,0.4812096,0.29135504,0.79089576,0.7985424,3.1190076,13.0,1.01360472682164
1.0455387,0.4789539,0.22984947,0.27355424,0.86767906,0.7787748,3.7986603,1.0,1.037510351632548
1.5944961,0.6069883,0.36257166,0.2497417,0.4537676,0.74790186,2.6277423,2.0,1.4996466722639035
1.8427969,0.5581873,0.93657327,0.7934028,0.46928078,0.04818622,1.726048,3.0,1.5957803995652846
1.5039879,0.25132683,0.33341643,0.037416678,0.33662754,0.3301314,1.9913193,4.0,1.5155861290194201
1.642215,0.53519255,0.67411935,0.22204165,0.36126527,0.33705968,2.2311115,5.0,1.5335768710707491
1.517964,0.41540438,0.40277368,0.6535072,0.25837445,0.9400289,4.2291393,6.0,1.4965601614335349
1.4812169,0.41987336,0.1099252,0.917549,0.31119528,0.93891233,3.13103,7.0,1.4783727208564277
1.4047726,0.40723497,0.56300426,0.29664904,0.5066962,0.5161356,3.7680044,8.0,1.3953430240594955
1.7922164,0.58149254,0.38451722,0.026541281,0.22476068,0.1131194,2.9790246,9.0,1.6074473130018732
1.1601914,0.3887213,0.43734875,0.42087272,0.89140475,0.47562876,3.7021298,10.0,1.164134175623873
1.4188269,0.2511365,0.34924757,0.5674728,0.8872672,0.5553805,4.614886,11.0,1.3706480705792343
1.519283,0.48388058,0.3969553,0.22353494,0.3917024,0.39502087,2.9960954,12.0,1.4715787256008719
1.3734919,0.5339484,0.56825507,0.2038345,0.5030823,0.85258275,2.5499904,13.0,1.3911815335793956
1.421806,0.248651,0.38351685,0.09787433,0.63586164,0.5109547,3.0706296,1.0,1.4391310245694877
1.9404157,0.68275076,0.26662424,0.2936529,0.25398308,0.7791485,3.5132713,2.0,1.696533214327277
1.5669987,0.31786767,0.5948168,0.20473693,0.1677104,0.7930032,3.2740283,3.0,1.548436037403286
1.5665901,0.43783006,0.29995558,0.31354058,0.25095022,0.49651563,2.9174623,4.0,1.5109811984127905
1.4147127,0.35595435,0.72728854,0.018234951,0.6842259,0.16226903,1.5628432,5.0,1.4060278103718216
1.4095222,0.3709069,0.61272925,0.26506212,0.4481829,0.6008052,2.9975178,6.0,1.4162647385040732
1.435402,0.4330527,0.48478252,0.32251015,0.48043537,0.46749458,2.7469318,7.0,1.4099316731721858
1.2558659,0.33688104,0.654001,0.019286148,0.8969928,0.5185902,1.7997817,8.0,1.2294740018798151
1.5264473,0.7160269,0.1394238,0.19446194,0.6211853,0.44023627,3.800743,9.0,1.4004599829040731
1.3041351,0.5585397,0.37275153,0.24378018,0.67986465,0.4983869,3.15159,10.0,1.2406819979882888
1.2544925,0.34782088,0.47861367,0.13694984,0.6970832,0.48665437,2.6451387,11.0,1.2842562124075114
1.2992822,0.40024766,0.5728798,0.21955054,0.61058766,0.5660573,2.6325638,12.0,1.3294940160843236
1.3962629,0.44960475,0.78605807,0.5818302,0.63201994,0.58715963,3.3801346,13.0,1.387934409014825
1.300648,0.36731702,0.34288147,0.1897404,0.58083355,0.4285763,2.4105618,1.0,1.339266925719463
1.2841222,0.35834146,0.8986465,0.039284393,0.8969789,0.46381953,4.3870645,2.0,1.3068036466897226
1.3181044,0.4218909,0.52484727,0.34834635,0.7276447,0.39150137,3.3746414,3.0,1.3055679617460778
1.2778344,0.42487052,0.52569085,0.1954632,0.7468438,0.39448732,2.1214747,4.0,1.263546615171534
1.1441065,0.43518817,0.2726583,0.31720522,0.85831064,0.40597966,2.180606,5.0,1.129440520735889
1.1607102,0.52992415,0.3919047,0.49097246,0.7548393,0.6094141,2.8975773,6.0,1.1556433823660173
1.1713732,0.55921686,0.27067286,0.44801244,0.962207,0.7460096,3.6904721,7.0,1.1608680068794939
1.2085868,0.79130244,0.29720476,0.39152417,0.9058608,0.40410143,4.7981806,8.0,1.1825623603492286
1.1490749,0.4782087,0.41680697,0.39050913,0.7846621,0.5590761,3.4117413,9.0,1.1345319073300342
1.1680859,0.43066984,0.6250354,0.19810127,0.8780861,0.54557735,3.8520837,10.0,1.1402123390371768
1.075181,0.49331823,0.46801847,0.2976163,0.85981536,0.60975236,3.5379326,11.0,1.0377228280020183
0.96476585,0.656616,0.1993703,0.32629544,0.75673336,0.8922581,2.8089197,12.0,1.0012714340604671
1.0537425,0.5748822,0.17233546,0.23479111,0.88398916,0.8695334,3.4125316,13.0,1.0615113319405078
1.3599739,0.72261757,0.13139005,0.79780143,0.5790832,0.93307257,1.0352874,1.0,1.373973688033235
1.2999989,0.7358298,0.27559072,0.3210595,0.8064393,0.45823163,2.639373,2.0,1.210144764340044
1.1690941,0.9709608,0.58108836,0.2981762,0.88515383,0.71308655,3.0810552,3.0,1.138744510470338
1.1111208,0.52600306,0.97702396,0.48972437,0.9146707,0.9114952,3.5059185,4.0,1.0672466559267044
1.1242784,0.6853464,0.35560152,0.5966539,0.741449,0.83357984,2.2506928,5.0,1.0500701432832122
1.1995502,0.54529893,0.586133,0.31323126,0.7406101,0.67195916,2.8763669,6.0,1.1587910629857892
1.102241,0.57288593,0.5641824,0.3792419,0.81023705,0.71306425,3.1020358,7.0,1.0405439382731645
1.1763579,0.58661574,0.55318755,0.3847385,0.8275107,0.5689328,3.3108158,8.0,1.1243249107470314
1.1988848,0.49473006,0.5656942,0.27345365,0.9135833,0.36395666,3.1114314,9.0,1.1711605668057856
1.0888488,0.7974826,0.58882844,0.35929957,0.87165016,0.7454719,3.102361,10.0,1.0589632273611158
1.1261827,0.62818664,0.75188804,0.64951706,0.82504755,0.83327943,3.3990543,11.0,1.047604746267395
1.2612101,0.5325782,0.62110597,0.5007111,0.70756006,0.66082406,2.855183,12.0,1.240060664807959
1.0617347,0.75670123,0.67563653,0.44543716,0.8994749,0.9078866,2.2945862,13.0,1.0432271051529178
1.6443714,0.4213125,0.9566756,0.84282047,0.30763534,0.040935904,4.8279247,1.0,1.5387890896999155
1.0687139,0.7888245,0.3483824,0.06037638,0.7581739,0.83050203,4.45841,2.0,1.0729454373440395
1.4605856,0.75732774,0.35656086,0.5755722,0.9462252,0.2784505,2.1608236,3.0,1.3745752619068088
1.2313089,0.6293553,0.4171512,0.40782523,0.8679715,0.41097078,2.5937622,4.0,1.1819074181229856
