like1,parFFf,paralpha,parbeta,parQQf,pargamma,park,chain
1.9931564,0.83497864,0.49229544,0.73488754,0.66091686,0.87036854,3.3935344,0.0
1.1180391,0.9717702,0.28963667,0.2745219,0.7136276,0.42463836,3.1767178,0.0
1.2903342,0.2443457,0.6016346,0.99621177,0.87884617,0.9413521,3.806023,0.0
1.5999249,0.35536435,0.6460368,0.8411466,0.22558342,0.37081632,1.7537932,0.0
1.5489215,0.3503875,0.13355637,0.59013313,0.30979046,0.26580364,3.8742032,0.0
2.68159,0.6178314,0.34453535,0.8903851,0.6931512,0.8117201,3.039415,0.0
1.2273474,0.25055563,0.35432318,0.7699739,0.7257963,0.49147603,2.0213397,0.0
1.5095727,0.57049024,0.16920523,0.23501188,0.27537665,0.3724783,3.2926471,0.0
3.302309,0.5868747,0.24226257,0.49532154,0.80796206,0.9203886,3.0015552,0.0
1.4771985,0.7000806,0.49955323,0.32524806,0.21942793,0.09542975,3.634522,0.0
1.5484267,0.36616185,0.9438464,0.12865117,0.34305465,0.42262995,2.990575,0.0
1.4204648,0.41616172,0.8211312,0.5838063,0.4911904,0.098557726,4.5595827,0.0
1.4637638,0.7277338,0.4753573,0.15244381,0.14705202,0.20860815,1.4386355,0.0
1.1779295,0.5126159,0.2733769,0.6522351,0.5979345,0.024877364,3.2578852,0.0
0.92656136,0.9086454,0.84141076,0.6254673,0.63109344,0.7381904,4.541109,0.0
1.3214018,0.42160428,0.09750694,0.24821973,0.43654582,0.6807044,3.988137,0.0
1.5119423,0.6145553,0.31812486,0.18143627,0.25579643,0.57143587,1.9526408,0.0
1.2748009,0.8875211,0.20184153,0.8689181,0.37048817,0.8778593,4.040462,0.0
1.2963184,0.68634266,0.6994442,0.2185021,0.6115165,0.9179785,2.703591,0.0
1.3347417,0.7831559,0.57834625,0.98280257,0.5961033,0.19722214,3.6321514,0.0
1.5093466,0.61960423,0.32440165,0.030934375,0.25138095,0.4272313,2.7557886,0.0
1.3993843,0.21055368,0.06641447,0.98906034,0.847904,0.35999382,3.3423753,0.0
3.296228,0.5858048,0.3039142,0.5150067,0.8144452,0.9964424,1.9620451,0.0
2.2195952,0.502432,0.06610174,0.38083956,0.81518275,0.33827528,3.8953598,0.0
1.5014006,0.37796465,0.6332481,0.4824746,0.37224644,0.499522,2.8474529,0.0
1.3655809,0.81466633,0.7560674,0.8739478,0.31074828,0.37068704,4.434079,0.0
1.4044526,0.5485626,0.76256424,0.28598124,0.40775096,0.37487963,4.7154107,0.0
1.5861385,0.3622131,0.53968376,0.84277576,0.21717352,0.6551411,4.641222,0.0
1.2321361,0.337264,0.8067249,0.042634107,0.59543824,0.21992233,3.6710386,0.0
1.1780262,0.5832831,0.68565166,0.8896561,0.5989073,0.43300518,1.4118677,0.0
1.7471054,0.4518822,0.27656493,0.5575312,0.7193008,0.49040502,4.4976406,0.0
1.3894738,0.7645211,0.5081558,0.050485633,0.32844236,0.12703383,2.2665355,0.0
1.5251421,0.62028986,0.0740704,0.8920508,0.16161986,0.9402332,4.407228,0.0
1.6401187,0.3227134,0.66856146,0.9245154,0.13391314,0.4746487,3.2028816,0.0
1.2177157,0.8707059,0.54480225,0.78417337,0.6198713,0.22048415,1.2588153,0.0
1.3106328,0.9669424,0.9262604,0.92349315,0.18487354,0.4637728,4.4143577,0.0
1.0338448,0.75028807,0.26243913,0.17756125,0.6892139,0.10986964,1.6370994,0.0
1.331718,0.9146992,0.53278613,0.9342349,0.17631939,0.49622217,4.1771946,0.0
1.1540418,0.47544536,0.6337252,0.71425086,0.5535591,0.52055293,1.6113956,0.0
1.3575481,0.41575205,0.22921368,0.7252367,0.48473123,0.1361579,4.085622,0.0
1.3040916,0.89034176,0.23159489,0.5137392,0.3428605,0.56486964,4.43783,0.0
1.0433946,0.74419427,0.17998399,0.50852436,0.67175466,0.51166314,2.324092,0.0
1.414292,0.63041866,0.34637654,0.17254592,0.3490635,0.98908895,1.1053005,0.0
1.5018476,0.25822577,0.9461044,0.28122565,0.44347084,0.41424522,4.626494,0.0
1.353188,0.8396665,0.2307195,0.66410816,0.2749538,0.4946855,3.0183911,0.0
1.7622496,0.58003104,0.28615966,0.39436996,0.62475115,0.7989021,2.9048765,0.0
1.1386601,0.804164,0.7987369,0.85250604,0.64196026,0.8409492,3.3192856,0.0
3.3642063,0.6382476,0.1605909,0.8163613,0.7315813,0.93543625,3.13976,0.0
0.97663707,0.84150475,0.67002904,0.3865604,0.6218645,0.73383445,4.1479497,0.0
1.2459562,0.9667759,0.68785614,0.006639965,0.39899728,0.82021326,3.136158,0.0
1.288385,0.2828586,0.6992631,0.45210013,0.8649044,0.5743041,3.2402632,0.0
1.2769203,0.3054625,0.33309263,0.06615101,0.650807,0.5511325,2.481213,0.0
1.3617566,0.98439777,0.81510216,0.26281962,0.71131015,0.7421618,3.16776,1.0
1.1910002,0.3810771,0.2527968,0.7507526,0.50802904,0.6038728,3.5189111,2.0
1.0468965,0.47978547,0.58368164,0.84801775,0.7475265,0.2927475,3.2445352,3.0
1.304004,0.58265406,0.35583696,0.48289156,0.47752416,0.47238967,3.2879205,4.0
1.1824821,0.59333247,0.6483069,0.43448552,0.5218279,0.46946865,3.862974,5.0
1.0893168,0.5364034,0.29950467,0.4467188,0.52466524,0.58742255,3.5924902,6.0
1.110002,0.80597246,0.5868729,0.28498363,0.5033961,0.66980165,3.3961406,7.0
1.1091247,0.5415303,0.4105688,0.651259,0.57539207,0.36276218,3.8784359,8.0
1.0455078,0.5887008,0.47470278,0.54443616,0.5560417,0.5444434,3.5142329,9.0
1.0228971,0.94378453,0.83432543,0.24503084,0.59610975,0.5201568,4.076216,10.0
1.529786,0.34016287,0.112586886,0.78172433,0.86482936,0.9352661,1.1789346,11.0
1.0568047,0.64970505,0.7412234,0.34159338,0.63051313,0.3194687,3.7717397,12.0
