like1,parFFf,paralpha,parbeta,parQQf,pargamma,park,chain,like_val
0.25087452,0.63351905,0.41656100,0.55418470,0.53264403,0.59136117,3.04747700,0.00000000,0.36052587
0.34324790,0.80811155,0.07369091,0.54752630,0.90063830,0.48640860,1.70848770,0.00000000,0.45064405
0.30969054,0.76676840,0.70697665,0.08153060,0.79838425,0.51468990,2.50554320,0.00000000,0.42178874
0.25567567,0.63999030,0.96305570,0.31107950,0.55531806,0.80661460,1.60221660,0.00000000,0.36552464
0.26834822,0.46792120,0.91086507,0.69941050,0.45202595,0.44954413,3.10187400,0.00000000,0.37829058
0.32842988,0.42251590,0.20123620,0.82495650,0.92764300,0.68948320,3.68416740,0.00000000,0.44327205
0.27373394,0.46023110,0.54308460,0.49400693,0.38824415,0.21146928,2.06515050,0.00000000,0.38076303
0.23862466,0.67918810,0.26538283,0.29177022,0.48248630,0.59840953,3.59518120,0.00000000,0.34218323
0.35451840,0.93628520,0.89176520,0.98364735,0.92516637,0.96210164,2.64569640,0.00000000,0.45332304
0.25447458,0.54436580,0.51520860,0.88905740,0.63147074,0.05128542,3.20159910,0.00000000,0.35269919
0.23036784,0.68707967,0.15677560,0.07710024,0.25327520,0.49081066,4.32851000,0.00000000,0.32108172
0.39174706,0.25720490,0.36114025,0.64709680,0.90253600,0.90973120,3.58879180,0.00000000,0.53159904
0.22905794,0.89026860,0.11564807,0.43600413,0.53023230,0.16551353,4.86006100,0.00000000,0.32589473
0.22429666,0.75545645,0.19462934,0.42945173,0.22660689,0.62668950,4.33802560,0.00000000,0.31216105
0.28200440,0.44630548,0.61938970,0.39459118,0.49684042,0.87884170,1.05850520,0.00000000,0.40694871
0.23284484,0.70519143,0.13474676,0.72198750,0.56420380,0.15521277,2.97775030,0.00000000,0.32742971
0.35140496,0.24471499,0.45383644,0.08473019,0.60569640,0.16982920,4.45604200,0.00000000,0.48422563
0.27693906,0.64698390,0.46965580,0.65435910,0.60294604,0.73105204,3.25648900,0.00000000,0.38039726
0.31393394,0.39293310,0.52085596,0.28248754,0.72070694,0.60614260,3.05274060,0.00000000,0.44587265
0.24247941,0.58321690,0.73089856,0.55522513,0.41308525,0.51725350,1.24181060,0.00000000,0.34178994
0.21983883,0.87620590,0.22231310,0.25130406,0.13661318,0.49064300,2.09433750,0.00000000,0.30541270
0.26628390,0.49259585,0.25548533,0.64367825,0.22201316,0.70829415,3.27913000,0.00000000,0.36979644
0.34784880,0.70777660,0.16134280,0.54860514,0.97405857,0.73903800,4.21713830,0.00000000,0.45853578
0.42652652,0.20688973,0.42875487,0.71274320,0.90964340,0.46022296,4.67391300,0.00000000,0.56884815
0.27426440,0.98391557,0.30102790,0.12665516,0.97143790,0.97504187,3.06116400,0.00000000,0.35099117
0.22819322,0.73625225,0.85203430,0.28072897,0.55676270,0.03025462,2.35533000,0.00000000,0.31541387
0.22430192,0.76452273,0.84447205,0.84035100,0.16684780,0.51451427,1.09999940,0.00000000,0.31164109
0.30312324,0.78667590,0.37493902,0.41688060,0.72609370,0.43518630,3.85866830,0.00000000,0.40497732
0.25508030,0.55173430,0.08608245,0.67607427,0.45948848,0.76158600,2.80408100,0.00000000,0.36615563
0.22147477,0.86269075,0.46024144,0.39566990,0.48622900,0.04946928,2.30554410,0.00000000,0.30743587
0.22852863,0.68670267,0.33205718,0.16974273,0.39162150,0.23326828,3.96660700,0.00000000,0.32121258
0.29049330,0.40142940,0.44367835,0.07493470,0.46258497,0.46951932,4.27051350,0.00000000,0.40938334
0.21597625,0.97702180,0.13352606,0.27798143,0.36170778,0.88779380,3.83109280,0.00000000,0.30629522
0.33512460,0.33800626,0.41791466,0.72610050,0.74774694,0.90264314,1.79932260,0.00000000,0.46631271
0.35866854,0.24343115,0.91762600,0.92138530,0.71143240,0.09128100,1.79754840,0.00000000,0.48909585
0.27074980,0.62824506,0.14722922,0.14216666,0.62537080,0.37936506,4.72651960,0.00000000,0.38236373
0.23893125,0.62764210,0.53528416,0.57474500,0.22009271,0.07501754,4.94460100,0.00000000,0.33255340
0.21868432,0.98773867,0.85778530,0.06851855,0.24113873,0.35940640,2.95020530,0.00000000,0.30351662
0.32159352,0.32473603,0.78418696,0.00283926,0.21852994,0.62464830,2.57785530,0.00000000,0.44109692
0.31260923,0.35264558,0.99037874,0.12482245,0.76722290,0.25152490,4.22054770,0.00000000,0.43897358
0.25211322,0.58417590,0.24551892,0.60163750,0.57914674,0.35627952,4.29615500,0.00000000,0.36572810
0.32689190,0.31300277,0.13305221,0.89885855,0.17393921,0.48079103,4.28381700,0.00000000,0.44729381
0.24616920,0.59390503,0.73799735,0.42109740,0.62537160,0.22952424,2.51370400,0.00000000,0.35041824
0.32498804,0.33672288,0.09209633,0.23195362,0.70324135,0.34399772,3.36248900,0.00000000,0.45895089
