like1,parFFf,paralpha,parbeta,parQQf,pargamma,park,chain,like_val
1.33214140,0.25419417,0.27979746,0.77433840,0.63829017,0.45688322,3.97462400,0.00000000,7405901.17097487
1.51474670,0.30744255,0.03153892,0.76632430,0.74073050,0.31412008,4.50053020,0.00000000,8602942.35392462
1.38958800,0.21950758,0.54296230,0.22580078,0.31661420,0.01041957,3.33274100,0.00000000,7473626.45257669
1.28997930,0.42794415,0.89559800,0.49849588,0.24143045,0.50300395,2.25367900,0.00000000,14585112.17377643
2.91863200,0.51034385,0.20498136,0.47373495,0.92612320,0.75861070,1.16401850,0.00000000,6511620.77004659
0.81840750,0.65402030,0.22003622,0.42912206,0.56639920,0.93811480,2.00621650,0.00000000,20422430.69207768
1.12327770,0.85721356,0.89250606,0.54254884,0.39870840,0.13323150,3.41379900,0.00000000,29133051.04833478
0.90771383,0.94115220,0.75160160,0.44145113,0.51475080,0.28682554,4.91992570,0.00000000,31574426.93254082
1.52574870,0.94809240,0.67653000,0.15161280,0.66650680,0.94868520,1.37621590,0.00000000,25288573.44237873
1.15494920,0.78760320,0.52484440,0.96690000,0.27613240,0.97473705,3.29559180,0.00000000,26826494.04555430
0.47200918,0.98451334,0.61870027,0.46756417,0.84272520,0.11396857,2.49282120,0.00000000,30529140.38550106
1.40999500,0.92080210,0.30466235,0.80903715,0.14457975,0.60831980,2.87774540,0.00000000,31309691.57909091
1.73446680,0.42338750,0.21302426,0.01556065,0.76550440,0.32526556,1.97334110,0.00000000,11249049.86919650
0.65999910,0.36447647,0.60002226,0.65686256,0.78186965,0.13689350,3.02703640,0.00000000,11274657.59523797
0.42556277,0.87190590,0.53971980,0.29587610,0.85573210,0.07461766,2.05886440,0.00000000,26559531.63277680
1.39378960,0.30652717,0.06862464,0.09272919,0.61410004,0.57999850,3.13872500,0.00000000,8966499.74766807
1.02003340,0.74978080,0.61543510,0.00100910,0.41852185,0.39237470,4.02037500,0.00000000,25404053.67784460
1.20381820,0.73494250,0.93189776,0.40876943,0.24611030,0.50212630,3.82963560,0.00000000,25048992.25632533
1.43874070,0.29495950,0.17909908,0.27119663,0.66807395,0.42287870,2.88612400,0.00000000,8469242.16272147
0.87914330,0.83344560,0.08615220,0.95588094,0.81030226,0.06441220,4.81186200,0.00000000,27568289.78280096
0.28900180,0.84062010,0.54570293,0.80579040,0.83671030,0.15161909,4.29824160,0.00000000,26447759.81590299
2.32586600,0.39780945,0.90296230,0.95121175,0.88734580,0.66864926,3.95559240,0.00000000,8865319.07336957
1.27785770,0.30860160,0.61069970,0.35259375,0.28418306,0.94514750,4.04825000,0.00000000,10492539.15174192
3.19993660,0.80758180,0.31739554,0.35233700,0.92092240,0.87950810,3.54748460,0.00000000,7889681.69425693
1.25513650,0.50527745,0.73116840,0.75313270,0.25179850,0.34866282,2.06120280,0.00000000,17221153.66356199
0.97817504,0.69543480,0.85860250,0.01995469,0.43315640,0.45846444,4.21006970,0.00000000,23489338.35971045
0.41539020,0.72664267,0.11719511,0.16520466,0.55099624,0.53023994,3.31976720,0.00000000,23881026.86021696
0.99193990,0.71484524,0.28434455,0.10444158,0.43205310,0.39996418,3.56691530,0.00000000,24176778.37224215
1.25226560,0.50661780,0.56054014,0.12834357,0.24861248,0.23505187,3.53564240,0.00000000,17267216.95329461
0.97623515,0.25582287,0.54846930,0.23832938,0.39868550,0.86076957,3.84184860,0.00000000,8482578.07977762
1.30898200,0.44752590,0.55543330,0.88077450,0.18892694,0.44702548,2.67338850,0.00000000,15254978.67538676
3.47723270,0.98617780,0.18512912,0.30201400,0.69173400,0.93563450,4.17750170,0.00000000,21115439.34816822
0.82804900,0.28000700,0.56631523,0.68966160,0.65565217,0.17687498,1.39031900,0.00000000,9086100.30138232
1.28063130,0.32609296,0.25002694,0.29819098,0.98274110,0.80796105,2.73334600,0.00000000,5826406.76481548
1.50336580,0.24360155,0.91269200,0.56057495,0.84031150,0.77258350,3.71834230,0.00000000,6409998.63958628
0.57481754,0.72893760,0.38160460,0.96698720,0.89407230,0.17435682,3.61118340,0.00000000,22720724.55941577
3.07153940,0.53122160,0.36726883,0.10790835,0.86659660,0.48944688,3.09387230,0.00000000,9685490.88038904
0.39517704,0.75639766,0.55392810,0.25095410,0.50411820,0.84063120,4.50211800,0.00000000,24865980.35579896
1.03234910,0.20831004,0.38378775,0.38832948,0.45871260,0.24259480,3.57758500,0.00000000,6515670.64085791
0.80829230,0.80370350,0.89991707,0.59234000,0.79207690,0.40673843,4.40925170,0.00000000,23743792.00431805
1.36613180,0.92908406,0.76970270,0.69141600,0.31708870,0.11409327,4.99319740,0.00000000,31568140.91219132
0.81312513,0.79255260,0.29878733,0.53196890,0.59455400,0.12010206,3.02330280,0.00000000,26551317.02802844
0.86530780,0.98138040,0.99095213,0.66401080,0.42903715,0.97337437,3.70340000,0.00000000,32843602.49302742
1.16911780,0.85040190,0.88856965,0.57972884,0.39102942,0.02640082,2.19433880,0.00000000,28938744.84736946
1.29411090,0.41213945,0.57861950,0.65415853,0.24317315,0.00868631,1.01592550,0.00000000,14048867.90224996
1.05120110,0.74074060,0.35139635,0.11550671,0.44955400,0.23029442,1.26761110,0.00000000,25149479.89165971
1.09484600,0.37965187,0.50591910,0.95444620,0.36131630,0.89872610,1.00854160,0.00000000,12801543.25806361
1.14897670,0.81859070,0.17255014,0.62481610,0.36738010,0.11740359,2.69020490,0.00000000,27863033.96658110
1.20882280,0.70657945,0.58038530,0.05850993,0.24281798,0.48287034,3.88228540,0.00000000,24082700.02600254
0.82025564,0.32750675,0.86737895,0.74590830,0.54938960,0.28975710,4.31687930,0.00000000,10788174.41095320
1.06704040,0.90338730,0.52568510,0.52142555,0.91401374,0.20068309,3.23248890,0.00000000,24185210.71265851
1.33198870,0.47362910,0.61508640,0.63545585,0.13238768,0.72285080,4.88806000,0.00000000,16144891.82009747
1.30899180,0.38984025,0.11511590,0.46909603,0.24743858,0.40196553,1.58348930,0.00000000,13286425.39210894
0.87105644,0.28716550,0.62075675,0.66535866,0.76684314,0.12817973,2.50746200,0.00000000,8903659.27984908
1.21485270,0.55536040,0.31400480,0.61709386,0.26042780,0.89710000,2.33562760,0.00000000,18920919.54643435
1.34598040,0.37611833,0.88327560,0.35204744,0.79189473,0.31083944,2.02767440,0.00000000,10821111.82910002
1.23372460,0.79911820,0.59969260,0.28044012,0.19495809,0.77162470,2.44191050,0.00000000,27237797.05386987
1.08577820,0.28069684,0.95806926,0.73624560,0.40772852,0.42859536,3.34575200,0.00000000,9439185.28557845
1.23120940,0.20236002,0.80455090,0.02847967,0.80690570,0.82020473,4.03932140,0.00000000,5878531.96932665
0.83786010,0.30303228,0.07948581,0.03499214,0.58889080,0.31036755,4.41294240,0.00000000,9534126.91689210
2.68441870,0.45884627,0.61275340,0.78514060,0.95940420,0.36129704,2.01321820,0.00000000,9084166.07853130
1.22652770,0.56295705,0.90445840,0.06432289,0.36400974,0.00826488,2.11199700,0.00000000,19175659.88453151
2.49122360,0.49460277,0.97322714,0.19042091,0.80762890,0.97591376,1.94726350,0.00000000,10804988.51864207
1.39293930,0.93726410,0.79446240,0.30607545,0.11093519,0.52617840,2.80638300,0.00000000,31855854.59071668
0.90280634,0.61359596,0.91625350,0.55509450,0.81442064,0.30566788,2.78526020,0.00000000,18343749.59021951
2.91271140,0.65032520,0.49460155,0.85615930,0.74339690,0.85851440,1.69907150,0.00000000,13823710.17176740
1.03818740,0.70996267,0.24208704,0.89765860,0.40555155,0.42515490,3.63559580,0.00000000,24069537.09144437
1.08577490,0.43463100,0.15733677,0.71295280,0.46691970,0.24078813,1.12862250,0.00000000,14696495.91832576
1.43036560,0.90273610,0.63872780,0.44658273,0.11054283,0.26535535,1.06062260,0.00000000,30709205.78277994
0.46273845,0.65625040,0.73177755,0.80165166,0.72060430,0.35482510,4.47409340,0.00000000,20528755.66126929
3.35622480,0.75556380,0.47798964,0.44002506,0.92034286,0.81358510,4.88530800,0.00000000,9181508.06325464
1.43368880,0.24212990,0.80866880,0.33837932,0.89428014,0.79092646,4.20250840,0.00000000,6146307.18389359
1.43515630,0.23143615,0.86394924,0.00250780,0.69841146,0.80426520,2.56919050,0.00000000,6433093.81109218
1.54905000,0.31127970,0.34789420,0.52249360,0.93665296,0.97668270,4.35970400,0.00000000,5907715.68784540
1.92826040,0.40023040,0.34069973,0.04533182,0.94161916,0.75069900,4.37110300,0.00000000,6186208.60373835
0.46884263,0.90067080,0.66688440,0.90051870,0.87429960,0.21987730,2.42026300,0.00000000,27656609.18607035
1.35611470,0.96091620,0.67730004,0.98231600,0.31759712,0.16878020,1.02982250,0.00000000,32632414.96299842
3.33620860,0.50547780,0.00781349,0.31901225,0.84985490,0.61581635,2.60702940,0.00000000,8410362.66138711
0.95063920,0.43432873,0.51521295,0.87382440,0.40699068,0.86916430,3.37311650,0.00000000,14534285.92261938
0.42036235,0.61615710,0.81016004,0.00143833,0.98859125,0.04124356,1.27885170,0.00000000,17755100.46680519
0.92229720,0.63049835,0.85171896,0.97395426,0.43605632,0.67979920,2.03267400,0.00000000,21198721.06141575
1.22456900,0.74673340,0.74065220,0.86969720,0.22385634,0.42210412,1.73639620,0.00000000,25453583.05270727
1.30796580,0.21219607,0.42332864,0.24858896,0.72785330,0.41674727,4.39424900,0.00000000,6018255.22761261
2.53437450,0.71458834,0.98215850,0.58196980,0.95567244,0.41103277,2.24276380,0.00000000,15010533.06671740
2.05122500,0.33238184,0.43559020,0.59732980,0.69051003,0.78513100,1.83831900,0.00000000,8501692.51450072
1.15459110,0.45756617,0.94589160,0.94630116,0.35298680,0.60138580,4.30663600,0.00000000,15522922.65951303
1.14518900,0.81336190,0.35497835,0.24453010,0.32333386,0.40888014,2.23445700,0.00000000,27688438.52811746
1.08980900,0.51874110,0.91663760,0.48887017,0.55872893,0.01104331,4.03362800,0.00000000,17513419.00030206
1.28768560,0.77311020,0.13158076,0.27882504,0.10704254,0.17915992,4.77924200,0.00000000,26353522.21981174
1.02601420,0.94336140,0.96170694,0.37390575,0.43065226,0.61149275,3.95990280,0.00000000,31788258.24368241
1.21097300,0.67342900,0.91936755,0.37750927,0.28822290,0.02397462,1.87464700,0.00000000,22953339.34449653
2.46444300,0.41737240,0.05508317,0.43992278,0.70714460,0.77462070,2.82737450,0.00000000,9862512.01808626
2.73343470,0.51384360,0.96222240,0.67797480,0.93553877,0.84815640,4.99910640,0.00000000,9128926.92285304
1.25332130,0.67362480,0.85202926,0.51322500,0.17793633,0.34924093,4.37921300,0.00000000,22962190.39605302
0.95262104,0.51405470,0.51368790,0.69158790,0.72154840,0.01383555,1.81216600,0.00000000,17055574.45578317
1.62119750,0.31919035,0.88221710,0.73409283,0.98618960,0.78307770,4.18095730,0.00000000,6418472.38058802
