date,storage,inflow,outflow
2000-04-01,1283230000.000,13.557,13.557
2000-04-02,1283230000.000,11.119,11.119
2000-04-03,1283230000.000,9.245,9.245
2000-04-04,1283230000.000,8.523,8.523
2000-04-05,1283230000.000,9.802,9.802
2000-04-06,1283230000.000,9.996,9.996
2000-04-07,1283230000.000,8.526,8.526
2000-04-08,1283230000.000,7.322,7.322
2000-04-09,1283230000.000,5.801,5.801
2000-04-10,1283230000.000,22.070,22.070
2000-04-11,1283230000.000,41.197,41.197
2000-04-12,1283230000.000,31.633,31.633
2000-04-13,1283230000.000,23.235,23.235
2000-04-14,1283230000.000,17.394,17.394
2000-04-15,1283230000.000,13.664,13.664
2000-04-16,1283230000.000,11.335,11.335
2000-04-17,1283230000.000,9.751,9.751
2000-04-18,1283230000.000,8.555,8.555
2000-04-19,1283230000.000,8.604,8.604
2000-04-20,1283230000.000,9.413,9.413
2000-04-21,1283230000.000,8.752,8.752
2000-04-22,1283230000.000,9.670,9.670
2000-04-23,1283230000.000,16.641,16.641
2000-04-24,1283230000.000,21.906,21.906
2000-04-25,1283230000.000,18.826,18.826
2000-04-26,1283230000.000,14.445,14.445
2000-04-27,1283230000.000,13.764,13.764
2000-04-28,1283230000.000,13.714,13.714
2000-04-29,1283230000.000,11.886,11.886
2000-04-30,1283230000.000,9.822,9.822
2000-05-01,1283230000.000,8.022,8.022
2000-05-02,1283230000.000,7.056,7.056
2000-05-03,1283230000.000,6.761,6.761
2000-05-04,1283230000.000,6.297,6.297
2000-05-05,1283230000.000,5.488,5.488
2000-05-06,1283230000.000,4.816,4.816
2000-05-07,1283230000.000,4.517,4.517
2000-05-08,1283230000.000,3.986,3.986
2000-05-09,1283218514.216,3.318,3.451
2000-05-10,1283168605.587,2.874,3.451
2000-05-11,1283168605.587,4.421,4.421
2000-05-12,1283168605.587,6.526,6.526
2000-05-13,1283168605.587,6.073,6.073
2000-05-14,1283168605.587,5.642,5.642
2000-05-15,1283168605.587,4.506,4.506
2000-05-16,1283161676.027,3.371,3.451
2000-05-17,1283133246.868,3.122,3.451
2000-05-18,1283082508.493,2.864,3.451
2000-05-19,1283044135.363,3.007,3.451
2000-05-20,1283044135.363,6.175,6.175
2000-05-21,1283044135.363,8.836,8.836
2000-05-22,1283044135.363,8.277,8.277
2000-05-23,1283044135.363,8.023,8.023
2000-05-24,1283044135.363,6.740,6.740
2000-05-25,1283044135.363,11.962,11.962
2000-05-26,1283044135.363,18.213,18.213
2000-05-27,1283044135.363,15.360,15.360
2000-05-28,1283044135.363,12.332,12.332
2000-05-29,1283044135.363,10.351,10.351
2000-05-30,1283044135.363,8.806,8.806
2000-05-31,1283044135.363,7.401,7.401
2000-06-01,1283044135.363,5.849,5.849
2000-06-02,1283044135.363,4.487,4.487
2000-06-03,1283044135.363,3.681,3.681
2000-06-04,1283007810.379,3.031,3.451
2000-06-05,1282941406.801,2.683,3.451
2000-06-06,1282898882.283,2.959,3.451
2000-06-07,1282898882.283,5.983,5.983
2000-06-08,1282898882.283,14.197,14.197
2000-06-09,1282898882.283,16.611,16.611
2000-06-10,1282898882.283,12.122,12.122
2000-06-11,1282898882.283,8.721,8.721
2000-06-12,1282898882.283,8.852,8.852
2000-06-13,1282898882.283,16.328,16.328
2000-06-14,1282898882.283,19.980,19.980
2000-06-15,1282898882.283,19.190,19.190
2000-06-16,1282898882.283,18.195,18.195
2000-06-17,1282898882.283,14.020,14.020
2000-06-18,1282898882.283,10.745,10.745
2000-06-19,1282898882.283,9.845,9.845
2000-06-20,1282898882.283,9.779,9.779
2000-06-21,1282898882.283,8.305,8.305
2000-06-22,1282898882.283,6.522,6.522
2000-06-23,1282898882.283,6.166,6.166
2000-06-24,1282898882.283,6.300,6.300
2000-06-25,1282898882.283,5.819,5.819
2000-06-26,1282898882.283,4.963,4.963
2000-06-27,1282898882.283,6.409,6.409
2000-06-28,1282898882.283,9.527,9.527
2000-06-29,1282898882.283,8.787,8.787
2000-06-30,1282898882.283,7.412,7.412
2000-07-01,1282898882.283,6.852,6.852
2000-07-02,1282898882.283,5.722,5.722
2000-07-03,1282898882.283,4.906,4.906
2000-07-04,1282898882.283,4.258,4.258
2000-07-05,1282898882.283,3.657,3.657
2000-07-06,1282854682.358,2.940,3.451
2000-07-07,1282767200.964,2.439,3.451
2000-07-08,1282654030.079,2.141,3.451
2000-07-09,1282519461.975,1.894,3.451
2000-07-10,1282379675.243,1.833,3.451
2000-07-11,1282266807.106,2.145,3.451
2000-07-12,1282158485.846,2.197,3.451
2000-07-13,1282014017.520,1.779,3.451
2000-07-14,1281850738.115,1.561,3.451
2000-07-15,1281669043.151,1.348,3.451
2000-07-16,1281577545.359,2.392,3.451
2000-07-17,1281577545.359,7.949,7.949
2000-07-18,1281577545.359,10.558,10.558
2000-07-19,1281577545.359,7.544,7.544
2000-07-20,1281577545.359,6.513,6.513
2000-07-21,1281577545.359,5.295,5.295
2000-07-22,1281577545.359,4.048,4.048
2000-07-23,1281576904.968,3.443,3.451
2000-07-24,1281530835.414,2.917,3.451
2000-07-25,1281463229.678,2.668,3.451
2000-07-26,1281376965.564,2.452,3.451
2000-07-27,1281357674.252,3.227,3.451
2000-07-28,1281357674.252,10.780,10.780
2000-07-29,1281357674.252,14.625,14.625
2000-07-30,1281357674.252,9.830,9.830
2000-07-31,1281357674.252,7.713,7.713
2000-08-01,1281357674.252,7.832,7.832
2000-08-02,1281357674.252,7.996,7.996
2000-08-03,1281357674.252,6.696,6.696
2000-08-04,1281357674.252,5.763,5.763
2000-08-05,1281357674.252,4.779,4.779
2000-08-06,1281357674.252,3.620,3.620
2000-08-07,1281350238.156,3.364,3.451
2000-08-08,1281350238.156,3.877,3.877
2000-08-09,1281350238.156,3.903,3.903
2000-08-10,1281311084.324,2.997,3.451
2000-08-11,1281258664.828,2.844,3.450
2000-08-12,1281207658.974,2.860,3.450
2000-08-13,1281202719.188,3.393,3.450
2000-08-14,1281202719.188,3.987,3.987
2000-08-15,1281202719.188,5.773,5.773
2000-08-16,1281202719.188,6.796,6.796
2000-08-17,1281202719.188,5.504,5.504
2000-08-18,1281202719.188,4.828,4.828
2000-08-19,1281202719.188,4.432,4.432
2000-08-20,1281202719.188,3.869,3.869
2000-08-21,1281152004.811,2.863,3.450
2000-08-22,1281046490.776,2.229,3.450
2000-08-23,1280904504.720,1.807,3.450
2000-08-24,1280792489.741,2.154,3.450
2000-08-25,1280726334.847,2.685,3.450
2000-08-26,1280617735.607,2.193,3.450
2000-08-27,1280477849.998,1.831,3.450
2000-08-28,1280315099.403,1.566,3.450
2000-08-29,1280135291.387,1.369,3.450
2000-08-30,1279934523.168,1.126,3.450
2000-08-31,1279719072.587,0.956,3.450
2000-09-01,1279497193.413,0.882,3.450
2000-09-02,1279254765.269,0.644,3.450
2000-09-03,1279085521.785,1.491,3.450
2000-09-04,1278990678.221,2.352,3.450
2000-09-05,1278847921.577,1.797,3.449
2000-09-06,1278661300.436,1.289,3.449
2000-09-07,1278440581.923,0.895,3.449
2000-09-08,1278204189.251,0.713,3.449
2000-09-09,1277955764.017,0.574,3.449
2000-09-10,1277701254.306,0.503,3.449
2000-09-11,1277439985.668,0.425,3.449
2000-09-12,1277169062.326,0.313,3.449
2000-09-13,1276894395.303,0.270,3.449
2000-09-14,1276626652.412,0.350,3.449
2000-09-15,1276364145.896,0.410,3.448
2000-09-16,1276364145.896,3.868,3.868
2000-09-17,1276364145.896,7.716,7.716
2000-09-18,1276364145.896,4.868,4.868
2000-09-19,1276338680.958,3.154,3.448
2000-09-20,1276241708.018,2.326,3.448
2000-09-21,1276170114.241,2.620,3.448
2000-09-22,1276154075.388,3.263,3.448
2000-09-23,1276106079.795,2.893,3.448
2000-09-24,1276024983.010,2.510,3.448
2000-09-25,1275933953.557,2.395,3.448
2000-09-26,1275812717.916,2.045,3.448
2000-09-27,1275750125.975,2.724,3.448
2000-09-28,1275750125.975,3.524,3.524
2000-09-29,1275676652.050,2.598,3.448
2000-09-30,1275559585.834,2.093,3.448
2000-10-01,1275407165.132,1.684,3.448
2000-10-02,1275224719.332,1.336,3.448
2000-10-03,1275027129.659,1.161,3.448
2000-10-04,1274816533.261,1.010,3.448
2000-10-05,1274590628.139,0.833,3.448
2000-10-06,1274408277.883,1.337,3.448
2000-10-07,1274408277.883,4.460,4.460
2000-10-08,1274408277.883,6.615,6.615
2000-10-09,1274408277.883,4.787,4.787
2000-10-10,1274408277.883,3.659,3.659
2000-10-11,1274370397.589,3.009,3.448
2000-10-12,1274272774.404,2.318,3.448
2000-10-13,1274127013.610,1.760,3.447
2000-10-14,1273942458.194,1.311,3.447
2000-10-15,1273722553.181,0.902,3.447
2000-10-16,1273482778.723,0.672,3.447
2000-10-17,1273285294.270,1.161,3.447
2000-10-18,1273155937.495,1.950,3.447
2000-10-19,1273155937.495,4.127,4.127
2000-10-20,1273155937.495,5.888,5.888
2000-10-21,1273155937.495,4.104,4.104
2000-10-22,1273116310.299,2.988,3.447
2000-10-23,1273012762.988,2.249,3.447
2000-10-24,1272874758.360,1.850,3.447
2000-10-25,1272722495.529,1.685,3.447
2000-10-26,1272540766.581,1.343,3.447
2000-10-27,1272333107.952,1.043,3.447
2000-10-28,1272117733.651,0.954,3.447
2000-10-29,1271890188.992,0.813,3.447
2000-10-30,1271650218.860,0.669,3.446
2000-10-31,1271416440.587,0.741,3.446
2000-11-01,1271199420.451,0.934,3.446
2000-11-02,1270992792.380,1.055,3.446
2000-11-03,1270770126.509,0.869,3.446
2000-11-04,1270535608.143,0.732,3.446
2000-11-05,1270297585.896,0.691,3.446
2000-11-06,1270081613.402,0.946,3.446
2000-11-07,1269908102.405,1.437,3.446
2000-11-08,1269730792.841,1.393,3.446
2000-11-09,1269541194.632,1.251,3.446
2000-11-10,1269341664.269,1.136,3.445
2000-11-11,1269341664.269,4.054,4.054
2000-11-12,1269341664.269,7.757,7.757
2000-11-13,1269341664.269,6.069,6.069
2000-11-14,1269341664.269,4.442,4.442
2000-11-15,1269341664.269,5.117,5.117
2000-11-16,1269341664.269,6.789,6.789
2000-11-17,1269341664.269,6.384,6.384
2000-11-18,1269341664.269,5.094,5.094
2000-11-19,1269341664.269,4.329,4.329
2000-11-20,1269341664.269,3.869,3.869
2000-11-21,1269337098.265,3.393,3.445
2000-11-22,1269308381.057,3.113,3.445
2000-11-23,1269256261.724,2.842,3.445
2000-11-24,1269176143.947,2.518,3.445
2000-11-25,1269078520.783,2.315,3.445
2000-11-26,1268966505.750,2.149,3.445
2000-11-27,1268837847.010,1.956,3.445
2000-11-28,1268798453.872,2.989,3.445
2000-11-29,1268798453.872,4.170,4.170
2000-11-30,1268798453.872,3.558,3.558
2000-12-01,1268790795.734,3.357,3.445
2000-12-02,1268781777.126,3.341,3.445
2000-12-03,1268741097.863,2.974,3.445
2000-12-04,1268666620.782,2.583,3.445
2000-12-05,1268562802.604,2.244,3.445
2000-12-06,1268429743.760,1.905,3.445
2000-12-07,1268281718.078,1.732,3.445
2000-12-08,1268132058.001,1.713,3.445
2000-12-09,1267980680.648,1.693,3.445
2000-12-10,1267815619.256,1.534,3.445
2000-12-11,1267632187.297,1.322,3.445
2000-12-12,1267437110.574,1.187,3.445
2000-12-13,1267271078.967,1.523,3.445
2000-12-14,1267155602.498,2.108,3.445
2000-12-15,1267032360.588,2.018,3.444
2000-12-16,1266890718.070,1.805,3.444
2000-12-17,1266734922.022,1.641,3.444
2000-12-18,1266734922.022,15.475,15.475
2000-12-19,1266734922.022,33.554,33.554
2000-12-20,1266734922.022,26.066,26.066
2000-12-21,1266734922.022,18.633,18.633
2000-12-22,1266734922.022,13.934,13.934
2000-12-23,1266734922.022,11.115,11.115
2000-12-24,1266734922.022,9.234,9.234
2000-12-25,1266734922.022,7.830,7.830
2000-12-26,1266734922.022,6.701,6.701
2000-12-27,1266734922.022,5.867,5.867
2000-12-28,1266734922.022,5.235,5.235
2000-12-29,1266734922.022,4.684,4.684
2000-12-30,1266734922.022,4.185,4.185
2000-12-31,1266734922.022,3.807,3.807
2001-01-01,1266732566.411,3.417,3.444
2001-01-02,1266693684.896,2.994,3.444
2001-01-03,1266631239.202,2.722,3.444
2001-01-04,1266545796.956,2.455,3.444
2001-01-05,1266437491.185,2.191,3.444
2001-01-06,1266310402.385,1.973,3.444
